ruleId,ruleDesc,phrase1,operator,phrase2,=>,l1Category,l2Category,returnType,, 
1,None,polite,AND,courteous,=>,Agent,Helpfulness,flag,,
2,None,price,AND,expensive,=>,Product/plan,Pricing,flag,,
3,None,slow,AND,response,=>,Agent,Response Time And Efficiency,flag,,
4,None,very,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
5,None,too,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
6,None,Agent,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
7,None,really,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
8,None,faster,AND,response,=>,Agent,Response Time And Efficiency,flag,,
9,None,delayed,AND,response,=>,Agent,Response Time And Efficiency,flag,,
10,None,quicker,AND,response,=>,Agent,Response Time And Efficiency,flag,,
11,None,slow,AND,responding,=>,Agent,Response Time And Efficiency,flag,,
12,None,fast,AND,responding,=>,Agent,Response Time And Efficiency,flag,,
13,None,faster,AND,responding,=>,Agent,Response Time And Efficiency,flag,,
14,None,time,AND,response,=>,Agent,Response Time And Efficiency,flag,,
15,None,not,AND,quick,=>,Agent,Response Time And Efficiency,flag,,
16,None,not,AND,fast,=>,Agent,Response Time And Efficiency,flag,,
17,None,delay,AND,response,=>,Agent,Response Time And Efficiency,flag,,
18,None,type,AND,fast,=>,Agent,Response Time And Efficiency,flag,,
19,None,type,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
20,None,wait,AND,waiting,=>,Agent,Response Time And Efficiency,flag,,
21,None,timely,AND,response,=>,Agent,Response Time And Efficiency,flag,,
22,None,timely,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
23,None,answer,AND,minutes,=>,Agent,Response Time And Efficiency,flag,,
24,None,answer,AND,min,=>,Agent,Response Time And Efficiency,flag,,
25,None,question,AND,minutes,=>,Agent,Response Time And Efficiency,flag,,
26,None,question,AND,min,=>,Agent,Response Time And Efficiency,flag,,
27,None,response,AND,minutes,=>,Agent,Response Time And Efficiency,flag,,
28,None,response,AND,min,=>,Agent,Response Time And Efficiency,flag,,
29,None,wait,AND,long,=>,Agent,Response Time And Efficiency,flag,,
30,None,wait,AND,min,=>,Agent,Response Time And Efficiency,flag,,
31,None,period,AND,long,=>,Agent,Response Time And Efficiency,flag,,
32,None,duration,AND,long,=>,Agent,Response Time And Efficiency,flag,,
33,None,too long,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
34,None,too long,AND,response,=>,Agent,Response Time And Efficiency,flag,,
35,None,very long,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
36,None,more,AND,prompt,=>,Agent,Response Time And Efficiency,flag,,
37,None,prompt,AND,responses,=>,Agent,Response Time And Efficiency,flag,,
38,None,chat,AND,available,=>,Agent,Availability,flag,,
39,None,Agent,AND,not available,=>,Agent,Availability,flag,,
40,None,Agent,AND,unavailable,=>,Agent,Availability,flag,,
41,None,Agent,AND,availability,=>,Agent,Availability,flag,,
42,None,representative,AND,availability,=>,Agent,Availability,flag,,
43,None,representative,AND,unavailable,=>,Agent,Availability,flag,,
44,None,representative,AND,not available,=>,Agent,Availability,flag,,
45,None,help,AND,availability,=>,Agent,Availability,flag,,
46,None,help,AND,unavailable,=>,Agent,Availability,flag,,
47,None,help,AND,not available,=>,Agent,Availability,flag,,
48,None,guys,AND,more helpful,=>,Agent,Helpfulness,flag,,
49,None,Agent,AND,more helpful,=>,Agent,Helpfulness,flag,,
50,None,representative,AND,more helpful,=>,Agent,Helpfulness,flag,,
51,None,rep,AND,more helpful,=>,Agent,Helpfulness,flag,,
52,None,guy,AND,more helpful,=>,Agent,Helpfulness,flag,,
53,None,person,AND,more helpful,=>,Agent,Helpfulness,flag,,
54,None,need,AND,helpful,=>,Agent,Helpfulness,flag,,
55,None,needs,AND,helpful,=>,Agent,Helpfulness,flag,,
56,None,could,AND,helpful,=>,Agent,Helpfulness,flag,,
57,None,should,AND,helpful,=>,Agent,Helpfulness,flag,,
58,None,would,AND,helpful,=>,Agent,Helpfulness,flag,,
59,None,not,AND,helpful,=>,Agent,Helpfulness,flag,,
60,None,no,AND,help,=>,Agent,Helpfulness,flag,,
61,None,not,AND,open,=>,Agent,Availability,flag,,
62,None,business,AND,hours,=>,Agent,Availability,flag,,
63,None,random,AND,answer,=>,Agent,Resolution,flag,,
64,None,question,AND,address,=>,Agent,Resolution,flag,,
65,None,go around,AND,in circles,=>,Agent,Resolution,flag,,
66,None,went around,AND,in circles,=>,Agent,Resolution,flag,,
67,None,query,AND,not resolved,=>,Agent,Resolution,flag,,
68,None,question,AND,not resolved,=>,Agent,Resolution,flag,,
69,None,not,AND,resolved,=>,Agent,Resolution,flag,,
70,None,not,AND,answered,=>,Agent,Resolution,flag,,
71,None,didn’t,AND,answer,=>,Agent,Resolution,flag,,
72,None,unable,AND,answer,=>,Agent,Resolution,flag,,
73,None,unable,AND,solve,=>,Agent,Resolution,flag,,
74,None,didn’t,AND,solve,=>,Agent,Resolution,flag,,
75,None,not,AND,solve,=>,Agent,Resolution,flag,,
76,None,issue,AND,cannot resolve,=>,Agent,Resolution,flag,,
77,None,cannot,AND,resolve,=>,Agent,Resolution,flag,,
78,None,Agent,AND,query,=>,Agent,Resolution,flag,,
79,None,representative,AND,query,=>,Agent,Resolution,flag,,
80,None,guy,AND,query,=>,Agent,Resolution,flag,,
81,None,person,AND,query,=>,Agent,Resolution,flag,,
82,None,Agent,AND,question,=>,Agent,Resolution,flag,,
83,None,representative,AND,question,=>,Agent,Resolution,flag,,
84,None,guy,AND,question,=>,Agent,Resolution,flag,,
85,None,person,AND,question,=>,Agent,Resolution,flag,,
86,None,Agent,AND,enquiry,=>,Agent,Resolution,flag,,
87,None,representative,AND,enquiry,=>,Agent,Resolution,flag,,
88,None,guy,AND,enquiry,=>,Agent,Resolution,flag,,
89,None,person,AND,enquiry,=>,Agent,Resolution,flag,,
90,None,can't,AND,help,=>,Agent,Resolution,flag,,
91,None,couldn’t,AND,assist,=>,Agent,Resolution,flag,,
92,None,didn’t,AND,assist,=>,Agent,Resolution,flag,,
93,None,should have,AND,called,=>,Agent,Resolution,flag,,
94,None,would,AND,call,=>,Agent,Resolution,flag,,
95,None,not,AND,understand,=>,Agent,Resolution,flag,,
96,None,donot,AND,understand,=>,Agent,Resolution,flag,,
97,None,doesn't,AND,understand,=>,Agent,Resolution,flag,,
98,None,didn’t,AND,understand,=>,Agent,Resolution,flag,,
99,None,poor,AND,understand,=>,Agent,Resolution,flag,,
100,None,train,AND,understand,=>,Agent,Resolution,flag,,
101,None,teach,AND,understand,=>,Agent,Resolution,flag,,
102,None,Agent,AND,didn’t understand,=>,Agent,Resolution,flag,,
103,None,representative,AND,didn’t understand,=>,Agent,Resolution,flag,,
104,None,person,AND,didn’t understand,=>,Agent,Resolution,flag,,
105,None,guy,AND,didn’t understand,=>,Agent,Resolution,flag,,
106,None,care,AND,didn’t understand,=>,Agent,Resolution,flag,,
107,None,rep,AND,didn’t understand,=>,Agent,Resolution,flag,,
108,None,language,AND,fluency,=>,Agent,Communication,flag,,
109,None,language,AND,grammer,=>,Agent,Communication,flag,,
110,None,language,AND,spelling,=>,Agent,Communication,flag,,
111,None,language,AND,fluent,=>,Agent,Communication,flag,,
112,None,language,AND,skills,=>,Agent,Communication,flag,,
113,None,language,AND,skill,=>,Agent,Communication,flag,,
114,None,language,AND,skilled,=>,Agent,Communication,flag,,
115,None,english,AND,fluency,=>,Agent,Communication,flag,,
116,None,english,AND,grammer,=>,Agent,Communication,flag,,
117,None,english,AND,spelling,=>,Agent,Communication,flag,,
118,None,english,AND,fluent,=>,Agent,Communication,flag,,
119,None,english,AND,skills,=>,Agent,Communication,flag,,
120,None,english,AND,skill,=>,Agent,Communication,flag,,
121,None,english,AND,skilled,=>,Agent,Communication,flag,,
122,None,teach,AND,grammer,=>,Agent,Communication,flag,,
123,None,teach,AND,spelling,=>,Agent,Communication,flag,,
124,None,teach,AND,fluent,=>,Agent,Communication,flag,,
