sessionId,lineText,lineBy,L2,L3,lineNum,issueLine
ID1224169300,My wifi is screwing up... why?,2,,Home Wifi,1,1
ID1224170121,Internet speed fluctuating,2,,Speed Issue,1,1
ID1224170936,Can i get a hard reset on your end  pls.. i've reset several times here and my connectivity is very slow,2,,Speed Issue,1,1
ID1224171365,"It is not letting me reset my password to my email, it won't let me click the button",2,,Login Issue,1,1
ID1224172722,I don't have a dial tone on my phone,2,,Dail Tone Issue,1,1
ID1224172725,I am having problems with my phone. I have no dial tone,2,,Dail Tone Issue,1,1
ID1224173600,Need Time Warner ID,2,,Twc Id,1,1
ID1224173999,Why do people receive fast busy signals when calling me?,2,,Signal Issue,1,1
ID1224175410,I am having problems with matching the e-mail address and the prior password.,2,,Login Issue,1,1
ID1224175425,channel unavailable,2,,Channel Issue,1,1
ID1224176807,i would like to know more about the 20 dollar plan,2,,Plan Explaination,1,1
ID1224178405,phone not working after installing new modem,2,,Phone Not Working,1,1
ID1224178793,how to set up our email and remote questions,2,,Email Issue,1,1
ID1224179225,Which modems to buy can I use for my cable service and telephone as well,2,,Purchase Modem,1,1
ID1224179627,Keep loosing connection,2,,Internet Not Working,1,1
ID1224179630,Phone don't have a dial tone.,2,,Dail Tone Issue,1,1
ID1224180026,I was wondering if you archieved the time warner cable sports high school games?,2,,Service Issue,1,1
ID1224180822,Why are we only getting 6.03Mbps when we are paying for the Extreme 30Mbps,2,,Speed Issue,1,1
ID1224181620,"I believe that you just provided my e-mail address, but when I enter it combined with the prior password, I get a message that records do not match",2,,Login Issue,1,1
ID1224182047,"Account has been disabled, can you re-acivate it?",2,,Account Setup,1,1
ID1224183180,I am being asked for a twc ID I do not have one that I know of.,2,,Twc Id,1,1
ID1224183630,I pay for Turbo boost internet; my speed is showing 5.50 and 2.10,2,,Speed Issue,1,1
ID1224184532,TWC Speed test shows our internet dropping. Keep loosing connection.,2,,Speed Issue,1,1
ID1224184917,How can I get my multi-room DVR to work on my other tvs. I have cable boxes on the other two tvs,2,,Dvr Issue,1,1
ID1224186494,Cant join wifi network,2,,Home Wifi,1,1
ID1224187802,Me and my wife are having email connection problems?,2,,Home Wifi,1,1
ID1224187803,I am trying to set up HBO GO & it asked me for my time warner cable user name and password. I never received one from Time Warner Cable,2,,Login Issue,1,1
ID1224188573,upcoming appointment,2,,Appointment,1,1
ID1224192623,I cannot set up my HBO GO as an error message keeps appearing ..,2,,Channel Issue,1,1
ID1224193808,I attempted the user name and suggested password and got an error code.  What Am I Doing Wrong?,2,,Login Issue,1,1
ID1224194986,My internet speed sucks after new modem install. Been having this problem for days! I work from home and NEED to get going before tomorrow.,2,,Speed Issue,1,1
ID1224195392,"I CANNOT CLICK THE ""RESET PASSWORD BY EMAIL"" LINK",2,,Login Issue,1,1
ID1224196144,"my log is disabled... how do i enable it? also, i would like to watch a channel online - is that possible?",2,,Login Issue,1,1
ID1224196148,"Our Internet (wired and wireless) has been absolutely awful since we upgraded it.  The tech that came out switched out our modem for a wireless one,, but he told us to continue using our wireless router with it because it's better.  It's to the point where we can't even use our wireless,  because it's too slow or doesn't work at all.  We were going to attempt to use the built in wireless, he didn't inform us what the password is.",2,,Internet Not Working,1,1
ID1224196944,my TV remote will turn on my cable box but not work any channels,2,,Channel Issue,1,1
ID1224202340,Cant register to view online statements,2,,Receving Bill - Paper&Paperless,1,1
ID1224202763,I can't remember my username to sign into TWC online content.,2,,Login Issue,1,1
ID1224204043,just picked up new phone modem - no service still,2,,Service Issue,1,1
ID1224204054,"Have been having some internet ping issues, wanted to have a refresh signal sent.",2,,Internet Not Working,1,1
ID1224204431,My computer and wireless devices are not connecting to my wifi. I know it has something to do with my service or modem because my apartment complex offers wifi and my devices are connecting to it fine.,2,,Home Wifi,1,1
ID1224204839,I do not know my ID number,2,,Twc Id,1,1
ID1224204847,Rechecked down load speed as recommended by tech support in san antonio.  hooked directly to new modem.   download was 7.36 mbps with higher speed 100 mmodem then I had with the old one running turbo.   i still have a conflcit with the new modent and asus wireless router ac1750.  The new modem is still showing a active wifi.,2,,Speed Issue,1,1
ID1224204853,One TV box not working,2,,Cable Box Not Working,1,1
ID1224207106,can't log in,2,,Login Issue,1,1
ID1224207113,internet speed check,2,,Speed Issue,1,1
ID1224207483,Is there a current issue with service?,2,,Service Issue,1,1
ID1224209446,what is the router IP for my router?,2,,Modem Setup,1,1
ID1224210610,"my internet speed is so low , i can't make face time call",2,,Speed Issue,1,1
ID1224211009,still extremely slow has gotten worse since earlier dicussion now get this this speeded back up to where is was earlier.  Bill,2,,Bill Related,1,1
ID1224211816,What phone number do I call to activate my digital adapter?,2,,Modem Setup,1,1
ID1224212658,cable turned off,2,,Cable Issue,1,1
ID1224212665,TWC.com troubleshooting says that my modem is operating below optimal performance standards,2,,Modem Setup,1,1
ID1224213428,"When TWC installed my cable, internet, and phone, the rep didn't give me the new phone number and my landline phone has indicates ""no line"".",2,,Signal Issue,1,1
ID1224213811,one of my boxes isn't working,2,,Cable Box Not Working,1,1
ID1224215303,i need to set up an account to access my account online,2,,Account Setup,1,1
ID1224215650,How many different email accounts can I have and how do I add or delete one?,2,,Login Issue,1,1
ID1224216379,Received new modem but not getting better speed.,2,,Speed Issue,1,1
ID1224217853,i would like to return a box for my mom nearest zipcode 11590   st to zipcode 1158,2,,Return Box,1,1
ID1224217864,reset pw,2,,Login Issue,1,1
ID1224218227,It's incredibly slow,2,,Speed Issue,1,1
ID1224218587,Caller ID,2,,Caller Id,1,1
ID1224219251,Unlink AppleTV from service,2,,Service Issue,1,1
ID1224219634,I forgot my password and was locked out of my account.,2,,Account Disabled,1,1
ID1224220399,"my TV is snowy.  Some days are worse, some days are better.  I checked all connections and they are tightly connected.  Can you help resolve this situation?",2,,Service Issue,1,1
ID1224220401,Internet is very slow,2,,Speed Issue,1,1
ID1224220772,why is my download speed a fraction of what it is supposed to be?,2,,Speed Issue,1,1
ID1224220784,I can't remember by username,2,,Login Issue,1,1
ID1224221937,how can I get my hd dvr to work on my multi room service,2,,Dvr Issue,1,1
ID1224221944,I want another box,2,,Cable Box Not Working,1,1
ID1224222388,How can I remorely delete recorded programs on my DVR?,2,,Dvr Issue,1,1
ID1224225030,Why am I paying for turbo and only getting standard.   I'm testing my speed and download is 16.25.  I may as well be using at&t.,2,,Speed Issue,1,1
ID1224227005,Can you please reset my modem and enable my wifi?!,2,,Home Wifi,1,1
ID1224228592,my twice account,2,,Account Info,1,1
ID1224228975,My on-demand channel isn't working,2,,Odc-Not Working,1,1
ID1224229764,The guide has dissapeared from our second TV - no information available on what is playing,2,,Tv Not Working,1,1
ID1224229768,Will i need to go online to activate and deactivate call forwarding. In past all I did is press #72 and #72 to activate and deactivate. Now its asking i set up online,2,,Account Setup,1,1
ID1224230118,I received a new modem and can't figure out how to install it.  TWC said that they could send a technician to install if i had a problem,2,,Modem Setup,1,1
