,Account Disabled,Account Info,Account Setup,Add Ons,Additional User,Anti Virus,App Issue,Appointment,Bill Explaination,Bill Related,Block Calls,Cable Box Not Working,Cable Issue,Call History,Caller Id,Cancellation,Change Package,Channel Issue,Channel List,Chhange Address - My Move,Dail Tone Issue,Details Of Existing Plan,Digital Adapter,Dvr Issue,Email Issue,Home Wifi,Internet Not Working,Login Issue,Make Payment,Modem Issue,Modem Setup,Multiple Tv,Odc-Not Working,Odm,Online Tv Issues,Order Status,Payment Status,Phone Cancellation,Phone Not Working,Phone Setup,Plan Explaination,Purchase Modem,Receving Bill - Paper&Paperless,Refund,Remote,Return Box,Service Availablity,Service Issue,Signal Issue,Smart Tv,Speed Issue,Streaming,Tv Not Working,Tv Setup,Twc Id,Update,Upgrade Plan-Internet,Voice Mail,Wifi Password
Login Issue,-1.00258358428,-0.998719158792,-0.944489000178,-0.999994392811,-1.0118272674,-0.999976668037,-1.06418534524,-1.03601438303,-1.00826873179,-1.07089568664,-0.999982449485,-1.40587331612,-1.56325276355,-1.05766885423,-1.34051468641,-1.02565143288,-1.00000053039,-0.996527559263,-0.997081092326,-1.00196739753,-1.00000364244,-1.01728954543,-0.999995958843,-1.42432803041,-1.95406417643,-0.993365347235,-1.59618703211,0.628693369974,-1.40081125927,-1.15819348854,-0.922563209846,-1.00000638063,-0.999955003876,-1.80964008587,-0.994288018308,-1.00503314486,-1.0222793889,-0.999999797721,-1.19891214916,-1.14519607507,-1.05902397526,-1.28012393217,-1.0118100334,-1.00820759459,-1.04444583256,-1.31690159858,-1.07756338876,-0.991839473909,-1.28093982741,-1.00158086674,-0.989111566244,-0.998802678426,-1.17873774453,-0.997610694256,-0.999956834879,-0.917292876403,-1.04315591097,-1.00596011934,-0.905025932164
Login Issue,-0.575578337206,-0.626920125706,-0.855398533076,-1.00114247997,-0.999660077108,-2.07228038782,-1.74096914294,-1.62975496054,-1.20046236402,-0.974998509856,-0.99997231222,-1.4902470581,-1.74800332732,-0.99999547177,-1.23171085191,-0.986846029223,-1.03015469434,-1.50621338422,-0.991530111704,-0.98865210638,-0.999999549918,-0.988251825818,-0.99999807993,-1.03978082986,-0.923188876731,-1.03104128178,-0.992105076996,-0.331283804003,-0.975629446832,-1.17011262172,-0.973507140814,-1.00000649326,-0.99696173089,-0.998930857016,-0.991546188957,-1.00560982234,-0.999560096063,-1.01181378387,-1.50498359773,-1.00212119306,-1.10293111151,-0.998007376515,-0.999996530258,-1.00117423238,-1.04674340876,-1.30199197204,-1.24086633298,-0.991925845491,-0.993877355839,-1.00108137204,-0.966533671431,-0.996082415862,-1.19844902693,-1.40871973895,-1.24267767543,-0.91648979452,-1.04118894044,-1.8458955356,-0.998556716584
App Issue,-0.976565026673,-0.968899720618,-0.865196012987,-0.999836431044,-1.07921631506,-1.00286108034,-0.064692294238,-1.01760811143,-1.01745639502,-1.00233748082,-0.999742031829,-0.655686309805,-0.987745321297,-0.99988583057,-1.07047672928,-1.01058279854,-1.02048898184,-1.03673463332,-1.19780414674,-0.999191353382,-0.999905066807,-1.91295674661,-0.999635481122,-0.884865517177,-0.972383084954,-1.38775478714,-1.06750978267,-0.587598600726,-1.00825859741,-1.06774560355,-0.99206241464,-0.99996338296,-0.999497485902,-1.10648963168,-1.23668622685,-0.999543523253,-1.00145016228,-0.999963781787,-1.35040778997,-0.923464960018,-1.07015944495,-1.06180440527,-0.99988245241,-0.999924249924,-1.04164927952,-1.30199197204,-0.904549475528,-0.950454637377,-0.945140419516,-1.00202818374,-0.992514864686,-1.10556257953,-1.19882539464,-0.937114729619,-1.42724496562,-1.04571986119,-1.01325803508,-0.999015191044,-1.04661499723
Modem Setup,-1.95348167019,-1.02325403073,-1.1069085765,-1.03587431852,-1.15162126582,-1.00583986147,-1.50413709621,-0.938228643275,-1.28596368827,-1.13193545055,-1.03260586547,-0.95773510737,-0.790698559134,-1.00074752276,-1.21232012158,-1.45256319104,-1.04555236507,-0.990072613718,-1.08358166096,-1.00437377379,-1.03423903212,-0.998373995865,-1.04843380611,-1.1331637287,-1.22255275413,-1.00115239166,-0.970826712033,-1.11806797827,-1.03283116161,-1.06018374393,-0.123776298782,-1.0396905416,-1.07834819896,-1.05406047655,-1.02568634317,-1.00068919812,-1.00368616808,-1.09938634331,-1.37882766724,-1.14296297105,-0.974265838791,-0.763889281327,-1.00113957869,-1.05231635728,-1.03732379326,-1.17329472785,-1.97915938391,-0.95685083033,-0.880934130233,-1.11240007636,-1.00845110865,-1.01715415843,-1.08799956337,-1.10243933727,-1.30988923961,-1.00038907918,-1.06556292237,-1.47432874183,-1.05108954426
Home Wifi,-1.72170655721,-1.18238542271,-1.09016420139,-1.00301478376,-1.0657810245,-1.0063521827,-1.37900964445,-1.06965396838,-1.18137522102,-0.984706464783,-1.0315760203,-1.25001045215,-1.82777673095,-1.00073568101,-1.20837459561,-1.5731714981,-1.02094104528,-1.42841168218,-1.21054219415,-1.00567694167,-1.03311588714,-0.988165161569,-1.00268727441,-1.59966504905,-1.22457409698,0.112432035495,-0.965716066415,-1.15794164086,-1.03304496172,-1.06358612361,-0.179080052356,-1.00646648897,-1.18069621118,-1.2432267758,-1.05161273364,-0.999955258284,-1.00231673382,-1.13017697931,-0.993171377037,-1.13100557134,-0.976522512362,-0.759039770845,-1.00113441616,-1.00906149947,-1.0564495529,-0.986511884945,-2.09535362877,-1.02992607846,-0.999725762277,-1.10624648066,-0.98791796318,-1.03373046033,-1.23400215047,-1.29705719199,-1.28412568772,-1.00329124839,-1.02571060944,-1.45854658525,-0.95366532467
Service Availablity,-1.27035465977,-1.02455398056,-1.10139279969,-1.04660244244,-1.08701288847,-1.17359517644,-1.00748990663,-1.04313985656,-1.03248148536,-1.11548458845,-1.24006725686,-1.38315844252,-1.21111422486,-1.11548977539,-1.02425776464,-1.00710705221,-1.01460114525,-1.01170478443,-1.0134304894,-1.34182145234,-1.68589283419,-1.01340385513,-1.0934755228,-1.4479689434,-1.05715502915,-1.12875743089,-0.468390425606,-1.20354525643,-1.16302150934,-1.03664623373,-1.30805394752,-1.06499197684,-1.59879320706,-1.29364448734,-0.988949846855,-1.01038353902,-1.00607732217,-1.05757251579,-0.715137554382,-1.05063282491,-0.919527792076,-1.15611593886,-1.00762423014,-1.033360205,-1.81549203203,-1.79553983376,-0.41338470938,-0.837122510148,-0.756872065883,-1.00121582254,-1.02294952801,-1.03967392882,-1.12752846069,-1.10045992323,-1.2673406957,-1.0291468552,-1.18699724786,-1.80345562906,-1.09671303806
Login Issue,-0.98221520475,-0.937520251105,-0.986674897182,-0.996793116992,-0.997840363545,-0.978640404769,-0.994324360017,-0.88992337372,-0.989752776526,-0.990920331271,-0.99451749353,-0.964088566789,-0.980268097284,-0.998163305115,-1.02331611453,-0.997961530237,-0.984052170269,-0.853699160203,-0.997451624776,-0.984473620281,-0.99754588136,-0.980099961162,-0.993393720043,-0.987344248206,-0.891705088413,-0.957419787296,-0.839696669349,-0.729601128691,-0.997968321731,-1.06122942153,-0.825783711919,-0.999074176015,-0.983959379231,-0.999092312248,-0.9939912235,-0.991485794641,-0.995750832851,-0.999154742695,-0.972424718578,-0.988792440547,-0.969452490184,-0.962753097384,-0.997203275873,-0.998314235494,-0.994483461346,-1.30199197204,-0.982191493715,-0.863131724608,-0.922799434704,-0.996524836231,-0.859292323145,-0.978967523495,-0.977997512634,-0.982207270805,-0.992619943781,-0.989505376397,-0.982873114841,-0.981471390407,-0.999978285818
Cable Issue,-1.26518881958,-0.997571364388,-1.13744637123,-1.04355030843,-1.14546003393,-0.999264855483,-1.61948360995,-0.87490512631,-1.37519959552,-1.17920026465,-0.999957099107,-0.785564387534,-0.110939702718,-0.999992016318,-1.07871658095,-1.56513876395,-1.05081161915,-0.869934708433,-1.00401951402,-0.997328819716,-0.999993126667,-0.992325742222,-1.0607075389,-0.967830203654,-0.976970988835,-0.98367022223,-0.894978968932,-0.92627176348,-1.01879547779,-1.18190664052,-0.880253391634,-1.04384365234,-1.09530384865,-1.04767477627,-1.00087673922,-1.00613095857,-1.00174676897,-1.0343817858,-1.5023338191,-1.15380467341,-0.969119788541,-0.953748074337,-0.999987375005,-1.05704754068,-1.00597763241,-1.41689394115,-0.989872467693,-0.894662015623,-0.814941518803,-1.00378097795,-0.997596378087,-0.9891140715,-0.935529634795,-0.977646108308,-1.17255797495,-0.990582433108,-1.09105852493,-0.999889616145,-1.0683936023
Home Wifi,-1.41304956739,-0.975121416666,-1.1448550723,-1.02418052834,-1.10772316059,-1.62362972041,-1.80868163261,-1.3035383618,-1.38067172094,-1.16932067762,-1.03671704963,-1.33015678198,-1.44182755022,-1.00175303843,-1.22557933669,-1.58835029294,-1.06502508557,-1.63671635868,-1.14141953519,-1.01374663956,-1.1465575924,-1.00164255362,-1.03487243855,-1.38203195399,-1.13833248236,-0.357154087719,-1.04735181421,-1.02332981474,-1.00883807504,-1.11838824489,-0.55310865984,-1.03672248581,-1.16844258829,-1.18336353166,-1.04394916588,-1.01539435036,-1.0061829561,-1.12583427005,-1.00791353341,-1.07840855227,-1.01071704019,-0.864529678448,-1.00342030463,-1.05754622227,-1.08206945789,-1.16745509176,-1.94976394448,-1.04071267494,-0.943804341501,-1.07190778116,-1.18242604136,-1.04654767876,-1.31022410849,-1.35265114885,-1.35730586131,-0.963825444477,-1.14268376654,-1.64912289791,-1.03665223109
Login Issue,-0.98221520475,-0.937520251105,-0.986674897182,-0.996793116992,-0.997840363545,-0.978640404769,-0.994324360017,-0.88992337372,-0.989752776526,-0.990920331271,-0.99451749353,-0.964088566789,-0.980268097284,-0.998163305115,-1.02331611453,-0.997961530237,-0.984052170269,-0.853699160203,-0.997451624776,-0.984473620281,-0.99754588136,-0.980099961162,-0.993393720043,-0.987344248206,-0.891705088413,-0.957419787296,-0.839696669349,-0.729601128691,-0.997968321731,-1.06122942153,-0.825783711919,-0.999074176015,-0.983959379231,-0.999092312248,-0.9939912235,-0.991485794641,-0.995750832851,-0.999154742695,-0.972424718578,-0.988792440547,-0.969452490184,-0.962753097384,-0.997203275873,-0.998314235494,-0.994483461346,-1.30199197204,-0.982191493715,-0.863131724608,-0.922799434704,-0.996524836231,-0.859292323145,-0.978967523495,-0.977997512634,-0.982207270805,-0.992619943781,-0.989505376397,-0.982873114841,-0.981471390407,-0.999978285818
