,0,1
0,14 november,8.75811986074
1,15 minutes live,8.75811986074
2,30 min,8.75811986074
3,30 min ago,8.75811986074
4,30 minutes operator,8.75811986074
5,4000k,8.75811986074
6,877 number,8.75811986074
7,877 number ts,8.75811986074
8,able watch basketball,8.75811986074
9,access disabled,8.75811986074
10,access disabled need,8.75811986074
11,access online pay,8.75811986074
12,account,3.25890455183
13,account access disabled,8.75811986074
14,account deactivated,8.75811986074
15,account disabled,5.18858716426
16,account holder help,8.75811986074
17,adapter office,8.75811986074
18,adapter office having,8.75811986074
19,adapters phone,8.75811986074
20,adapters phone monday,8.75811986074
21,add new device,8.75811986074
22,add pops,8.75811986074
23,add pops rid,8.75811986074
24,added carter,8.75811986074
25,added carter process,8.75811986074
26,additional access,8.75811986074
27,aggrement,8.75811986074
28,aggrement pay,8.75811986074
29,aggrement pay pass,8.75811986074
30,ago internet,8.75811986074
31,ago internet cable,8.75811986074
32,allow additional,8.75811986074
33,allow additional access,8.75811986074
34,anew smart,8.75811986074
35,anew smart tv,8.75811986074
36,antivirus,6.45553476775
37,apartments,7.50535689224
38,app,5.42591535056
39,appointment,5.60111943959
40,area,5.39082403075
41,arrangements,8.35265475263
42,arrangements account,8.75811986074
43,arrangements account internet,8.75811986074
44,bad cancel,8.75811986074
45,bad cancel credit,8.75811986074
46,basketball game espn,8.75811986074
47,billed,8.06497268018
48,billed place,8.75811986074
49,block,6.67867831906
50,blocking,7.50535689224
51,bought anew,8.75811986074
52,bought anew smart,8.75811986074
53,box,3.82364592761
54,box reset picture,8.75811986074
55,box restored,8.75811986074
56,box restored dvr,8.75811986074
57,boys,8.75811986074
58,boys movie,8.75811986074
59,boys movie yesterday,8.75811986074
60,brother,8.35265475263
61,buffer,8.75811986074
62,cable,3.51109578858
63,cable box,4.42738652045
64,cable box restored,8.75811986074
65,caller,6.40674460358
66,caller id,6.45553476775
67,calls,5.66707740738
68,calls house,8.75811986074
69,calls house phone,8.75811986074
70,came sports,8.75811986074
71,came sports package,8.75811986074
72,cancel,6.27321321095
73,cancel credit,8.75811986074
74,cancel credit ts,8.75811986074
75,cancellation,7.65950757207
76,cancelled received,8.75811986074
77,cancelled received statement,8.75811986074
78,carter,8.75811986074
79,carter left,8.75811986074
80,carter left came,8.75811986074
81,carter process,8.75811986074
82,carter process removing,8.75811986074
83,cell phone calls,8.75811986074
84,change wifi password,6.67867831906
85,channel,4.81653805307
86,channels,4.46766041959
87,charged,7.50535689224
88,chat 30,8.75811986074
89,chat 30 minutes,8.75811986074
90,chat internet,8.35265475263
91,chat internet work,8.75811986074
92,check status request,8.75811986074
93,choose jersery,8.75811986074
94,choose jersery boys,8.75811986074
95,clicked link,8.75811986074
96,clicked link right,8.75811986074
97,communication paid,8.75811986074
98,communication paid account,8.75811986074
99,compromised make,8.75811986074
100,compromised make purchases,8.75811986074
101,comptuer compromised,8.75811986074
102,comptuer compromised make,8.75811986074
103,computer fully,8.75811986074
104,computer fully protected,8.75811986074
105,connect internet dont,8.75811986074
106,connect sub,8.75811986074
107,connect sub user,8.75811986074
108,credit,7.25404246396
109,credit billed,8.75811986074
110,credit billed place,8.75811986074
111,credit ts,8.75811986074
112,dca,8.75811986074
113,deactivated,8.35265475263
114,degree,8.75811986074
115,degree wife,8.75811986074
116,degree wife primary,8.75811986074
117,delivered mail,8.75811986074
118,delivered mail havent,8.75811986074
119,demand,5.34039317713
120,demand working,6.96636039151
121,details,8.75811986074
122,details receive,8.75811986074
123,details receive communication,8.75811986074
124,device allow,8.75811986074
125,device allow additional,8.75811986074
126,dial,5.7376949746
127,dial tone,5.95475947983
128,digital adapter office,8.75811986074
129,digital adapters,7.65950757207
130,digital adapters phone,8.75811986074
131,disabled,4.81653805307
132,disconnect,7.84182912887
133,disconnect phone,8.75811986074
134,disconnect phone service,8.75811986074
135,discussing,8.75811986074
136,discussing getting,8.75811986074
137,discussing getting credit,8.75811986074
138,dta needs,8.75811986074
139,dta needs activated,8.75811986074
140,dvr,4.63908268593
141,dvr box reset,8.75811986074
142,email,3.98743523627
143,espn having,8.75811986074
144,espn having degree,8.75811986074
145,free digital,8.75811986074
146,free digital adapters,8.75811986074
147,friday 14,8.75811986074
148,friday 14 november,8.75811986074
149,fully protected,8.75811986074
150,game espn,8.75811986074
151,game espn having,8.75811986074
152,getting credit,8.75811986074
153,getting credit billed,8.75811986074
154,getting dta,8.75811986074
155,getting dta needs,8.75811986074
156,got messahe,8.75811986074
157,got messahe twc,8.75811986074
158,havent received check,8.75811986074
159,having degree,8.75811986074
160,having degree wife,8.75811986074
161,having mailed,8.75811986074
162,help brother,8.75811986074
163,holder help,8.75811986074
164,holder help brother,8.75811986074
165,house phone,8.75811986074
166,id,4.3273030619
167,install dca,8.75811986074
168,internet,2.85822250716
169,internet cable box,8.75811986074
170,internet dont,8.75811986074
171,internet dont know,8.75811986074
172,internet work,8.75811986074
173,internet work tv,8.75811986074
174,jersery,8.75811986074
175,jersery boys,8.75811986074
176,jersery boys movie,8.75811986074
177,just paid 30,8.75811986074
178,just want payment,8.75811986074
179,know order,8.75811986074
180,know order status,8.75811986074
181,left came,8.75811986074
182,left came sports,8.75811986074
183,life chat,8.75811986074
184,life chat 30,8.75811986074
185,like know order,8.75811986074
186,link right,8.75811986074
187,link right got,8.75811986074
188,live chat internet,8.75811986074
189,locked,4.82629422802
190,look recent,8.75811986074
191,look recent story,8.75811986074
192,mail havent,8.75811986074
193,mail havent received,8.75811986074
194,make purchases,8.75811986074
195,make purchases remove,8.75811986074
196,mcafee,6.67867831906
197,message computer,8.75811986074
198,message computer fully,8.75811986074
199,messahe,8.75811986074
200,messahe twc,8.75811986074
201,messahe twc screen,8.75811986074
202,min ago,8.75811986074
203,min ago internet,8.75811986074
204,minutes live,8.75811986074
205,minutes live chat,8.75811986074
206,minutes operator,8.75811986074
207,minutes operator carter,8.75811986074
208,modem,3.06776040642
209,monday delivered,8.75811986074
210,monday delivered mail,8.75811986074
211,movie,6.7432168402
212,movie yesterday watch,8.75811986074
213,movies,7.14868194831
214,movies rent,8.75811986074
215,movies rent smart,8.75811986074
216,moving,6.81220971168
217,multiple tvs,8.75811986074
218,need order,8.75811986074
219,need order record,8.75811986074
220,new device allow,8.75811986074
221,notifications,8.75811986074
222,notifications cell,8.75811986074
223,notifications cell phone,8.75811986074
224,number ts real,8.75811986074
225,office having,8.75811986074
226,office having mailed,8.75811986074
227,operator,8.35265475263
228,operator carter,8.75811986074
229,operator carter left,8.75811986074
230,order number,8.35265475263
231,order record,8.75811986074
232,order record phone,8.75811986074
233,order status,8.75811986074
234,ordered digital,8.75811986074
235,ordered digital adapters,8.75811986074
236,ordered new,8.35265475263
237,package added,8.75811986074
238,package added carter,8.75811986074
239,paid 30,8.75811986074
240,paid 30 min,8.75811986074
241,paid account,8.75811986074
242,paid account deactivated,8.75811986074
243,paid cable,8.75811986074
244,paid cable box,8.75811986074
245,paid past sevices,8.75811986074
246,paper,8.75811986074
247,pass friday,8.75811986074
248,pass friday 14,8.75811986074
249,password,3.30066427285
250,password add,8.75811986074
251,password add new,8.75811986074
252,password wifi,6.5608952834
253,past sevices,8.75811986074
254,past sevices restored,8.75811986074
255,pausing,8.75811986074
256,pausing buffer,8.75811986074
257,pay pass,8.75811986074
258,pay pass friday,8.75811986074
259,payed,8.75811986074
260,payed service,8.75811986074
261,payment,7.14868194831
262,payment aggrement,8.75811986074
263,payment aggrement pay,8.75811986074
264,payment arrangements,8.75811986074
265,payment arrangements account,8.75811986074
266,payment details,8.75811986074
267,payment details receive,8.75811986074
268,period,8.35265475263
269,period time,8.75811986074
270,phone,3.88674663398
271,phone calls house,8.75811986074
272,phone monday,8.75811986074
273,phone monday delivered,8.75811986074
274,phone service,6.50682806213
275,phone story,8.75811986074
276,phone story specific,8.75811986074
277,phone working,5.92490651668
278,pick digital,8.75811986074
279,pick digital adapter,8.75811986074
280,picture screen,8.75811986074
