,0
0,-0.98221520475
1,-0.937520251105
2,-0.986674897182
3,-0.996793116992
4,-0.997840363545
5,-0.978640404769
6,-0.994324360017
7,-0.88992337372
8,-0.989752776526
9,-0.990920331271
10,-0.99451749353
11,-0.964088566789
12,-0.980268097284
13,-0.998163305115
14,-1.02331611453
15,-0.997961530237
16,-0.984052170269
17,-0.853699160203
18,-0.997451624776
19,-0.984473620281
20,-0.99754588136
21,-0.980099961162
22,-0.993393720043
23,-0.987344248206
24,-0.891705088413
25,-0.957419787296
26,-0.839696669349
27,-0.729601128691
28,-0.997968321731
29,-1.06122942153
30,-0.825783711919
31,-0.999074176015
32,-0.983959379231
33,-0.999092312248
34,-0.9939912235
35,-0.991485794641
36,-0.995750832851
37,-0.999154742695
38,-0.972424718578
39,-0.988792440547
40,-0.969452490184
41,-0.962753097384
42,-0.997203275873
43,-0.998314235494
44,-0.994483461346
45,-1.30199197204
46,-0.982191493715
47,-0.863131724608
48,-0.922799434704
49,-0.996524836231
50,-0.859292323145
51,-0.978967523495
52,-0.977997512634
53,-0.982207270805
54,-0.992619943781
55,-0.989505376397
56,-0.982873114841
57,-0.981471390407
58,-0.999978285818
