XTest,sessionId,y__true,y_pred,y_prob_max
reset password,ID1236235171,Login Issue,Login Issue,0.628693369974
wifi is turned off on ubee modem,ID1235824174,Home Wifi,Home Wifi,0.112432035495
i have turbo internet and just had a modem swap today yet my download speed is only 50 mbps,ID1219141408,Speed Issue,Speed Issue,0.380707768787
i would like to use my own wifi router,ID1235805181,Purchase Modem,Home Wifi,0.458632744834
cable box wont reboot,ID1235150890,Signal Issue,Cable Box Not Working,0.278938070786
my on demand channels are not working i have already unplugged the biox and rebooted it,ID1226556574,Odc-Not Working,Odc-Not Working,0.0170923302967
why is my internet slow i have ultimate but speed is 37 not 50,ID1222935414,Speed Issue,Speed Issue,1.62430263715
i cant connect to wifi from my mobil devices,ID1228508987,Home Wifi,Home Wifi,0.458632744834
i forgot my password to my wifi and i want to connect a device to it how can i find out what my password is to my ubee,ID1236103520,Wifi Password,Wifi Password,0.0880341375582
i have an email acct i am unable to access,ID1221877135,Email Issue,Email Issue,0.45381142214
"how to i find "" how to train your dragon 2 hd"" in ""on demand""m ",ID1236141214,Odc-Not Working,Odc-Not Working,0.332158696218
yesterday i stopped receiving emails on my computer  i just got a new phone and it is not receiving emails either neither is my ipad mini  i have all apple products  i tried to go on-line to view my emails and i dont remember my password when t asked me my security question i could not answer it correctly eitheri dont know what to do,ID1226531031,Email Issue,Login Issue,-0.0153393946119
how do i turn off the energy saver feature on my remote,ID1225986982,Remote,Remote,0.922037463607
my email is in two accounts,ID1225958123,Update,Email Issue,0.45381142214
my home wifi is incredibly slow what can i do to speed it back up,ID1228580584,Speed Issue,Speed Issue,1.28543291426
installing new modem,ID1224990956,Modem Setup,Modem Setup,0.303496439344
how to check twc wifi internet speed without connecting your laptop directly to your modem or router,ID1236259694,Speed Issue,Speed Issue,0.106937388225
dont remember my password,ID1230900683,Login Issue,Login Issue,0.628693369974
i am unable to call right now because i am working but my cable is not working  i have not received a shut off notice i usually make arrangements and postdate a check wch i was going to do on monday  all channels say call 972picktwc,ID1231965183,Cable Issue,Signal Issue,0.0982993906298
in addition would ts delivery require a technician to come to my home to set kit up seeing as i work full hours and cannot wait for a tcechnincian i was wondering what my options will be  i would like order a dvr for an optimum tv however the only option offered is to visit an optimum store to pick it up the other options- call 866 218-3259- cause cause for concern even if  i call the number provided  and am able to order i work full hours and cannot wait for a tcechnincion   what are ,ID1229348763,Tv Setup,Dvr Issue,0.51052253593
my wifi is very spotty and often does not work,ID1231544457,Home Wifi,Home Wifi,0.458632744834
is it possible to get a hardwire connection in another room from where my modem is currently,ID1229720419,Modem Setup,Modem Setup,0.303496439344
channel guide is sorting alphabetically,ID1228379814,Channel List,Channel Issue,0.447453393481
 for the last two weeks my espn channel has been missing twice ive called about it and it will be fixed but only lasts for a few hours then goes missing again,ID1230993295,Channel Issue,Channel Issue,0.447453393481
internet connection down,ID1235341457,Internet Not Working,Internet Not Working,0.292607691801
i need to schedule another appointment,ID1221359762,Appointment,Appointment,0.882026778961
need a replacement remote,ID1232575319,Remote,Remote,0.922037463607
 i was chatting with ronin and lost connection just before he had time to give me the day and time of my appointment with a technician,ID1232208427,Appointment,Appointment,0.882026778961
where i buy the cable box,ID1224111313,Service Issue,Cable Box Not Working,0.278938070786
my internet stops working repeatedly,ID1229513489,Internet Not Working,Internet Not Working,0.292607691801
ive been locked out of my account,ID1232332097,Login Issue,Account Disabled,0.350088668145
i am receiving email bounce back saying  my mail server 10714166227 has been blacklisted,ID1221649283,Email Issue,Email Issue,0.45381142214
trying to register for starz - account disabled,ID1235949763,Account Disabled,Account Disabled,0.360854339002
please activate my internet service order 2003006996 mac address 001adeadfa7a,ID1227395941,Service Issue,Internet Not Working,0.292607691801
unablel to access phone feature to block a number,ID1235919217,Phone Not Working,Block Calls,0.390781896137
mounting bracket for modem,ID1224892551,Modem Setup,Modem Setup,0.303496439344
why does every sunday the football channel 9 does not come in,ID1235284017,Channel Issue,Channel Issue,0.447453393481
need password,ID1222002544,Login Issue,Login Issue,0.628693369974
access to my email,ID1219753685,Email Issue,Email Issue,0.45381142214
i would like to be able to log into my modem at home but from my office outside of the home  at home i can log in just fine using the 19216801 ip   is there a similar ip i can use to log into the same place but from the internest side  how do i do ts,ID1223163603,Login Issue,Modem Setup,0.303496439344
cant access email  i just paid bill,ID1228420261,Email Issue,Email Issue,0.45381142214
my cable box makes noise buzz,ID1220572962,Cable Box Not Working,Cable Box Not Working,0.278938070786
