,row_doc,col_feature,tfidf_value
0,0,12,1.0
1,1,249,1.0
3,2,39,0.890729130672
2,2,168,0.454534504491
5,4,12,0.559609212133
4,4,189,0.828756616683
6,7,208,1.0
10,9,65,0.503558730831
9,9,66,0.507393550956
8,9,166,0.340118324141
7,9,270,0.610982744957
12,10,337,0.736900020314
11,10,344,0.676001745606
14,11,12,0.574828447431
13,11,140,0.818273949252
15,12,168,1.0
17,14,12,0.702590939619
16,14,249,0.71159396538
19,15,126,0.827923983184
18,15,270,0.560840332063
23,16,168,0.416947732069
22,16,208,0.671271607153
21,16,270,0.28349265848
20,16,411,0.543305559277
24,17,12,1.0
25,18,12,1.0
28,19,249,0.441453019547
27,19,411,0.498128863572
26,19,412,0.746315527649
29,20,86,1.0
31,21,119,0.60839687883
30,21,120,0.793632936457
32,22,411,1.0
33,23,189,1.0
36,24,249,0.400821657609
35,24,252,0.796733234738
34,24,411,0.45228105361
40,25,140,0.465519447679
39,25,208,0.307841490806
38,25,344,0.360295075639
37,25,411,0.747470881601
46,26,9,0.4745306193
45,26,10,0.4745306193
44,26,11,0.4745306193
43,26,12,0.176573285112
42,26,13,0.4745306193
41,26,131,0.260968657834
47,27,142,1.0
49,28,12,0.559609212133
48,28,189,0.828756616683
50,29,142,1.0
53,30,249,0.441453019547
52,30,411,0.498128863572
51,30,412,0.746315527649
55,31,301,0.785508499352
54,31,374,0.618850868502
56,32,344,1.0
58,33,62,0.617907637545
57,33,86,0.786250692505
59,34,208,1.0
61,36,12,0.559609212133
60,36,189,0.828756616683
62,37,249,1.0
63,38,208,1.0
64,40,168,1.0
65,41,12,1.0
66,43,53,1.0
67,44,39,1.0
69,45,38,0.825149441255
68,45,374,0.564914506449
70,47,142,1.0
71,50,12,1.0
72,51,344,1.0
73,52,344,1.0
74,53,249,1.0
77,54,249,0.400821657609
76,54,252,0.796733234738
75,54,411,0.45228105361
81,55,12,0.385041943661
80,55,15,0.61303534817
79,55,131,0.569077475016
78,55,249,0.389975885081
82,57,344,1.0
83,58,168,1.0
84,59,142,1.0
86,60,53,0.650224839477
85,60,86,0.759741836499
87,61,344,1.0
88,62,249,1.0
89,63,208,1.0
92,64,208,0.375187844583
91,64,270,0.475350059604
90,64,274,0.795786656153
93,65,208,1.0
96,66,168,0.509650750879
95,66,208,0.547013534017
94,66,411,0.664102631925
98,67,259,0.707106781187
97,67,260,0.707106781187
99,68,208,1.0
100,69,392,1.0
101,71,140,1.0
102,72,270,1.0
106,73,168,0.259980069792
105,73,208,0.837118064709
104,73,270,0.35353323915
