,0,1
0,00 210,11.9380945112
1,00 210 677,11.9380945112
2,00 2708,11.9380945112
3,00 2708 strong,11.9380945112
4,000000 877,11.9380945112
5,000000 877 566,11.9380945112
6,000000 anil,11.9380945112
7,000000 anil personal,11.9380945112
8,000000 appreciate,11.9380945112
9,000000 appreciate efforts,11.9380945112
10,000000 help number,11.9380945112
11,000000 like request,11.9380945112
12,000000 select,11.9380945112
13,000000 select billing,11.9380945112
14,000000 shall,11.9380945112
15,000000 shall provide,11.9380945112
16,0002,10.233346419
17,0002 available,11.5326294031
18,0002 available round,11.5326294031
19,0002 feel,11.5326294031
20,0002 feel free,11.5326294031
21,0002 okay,11.9380945112
22,0002 okay code,11.9380945112
23,0002 strong,11.0218037794
24,0002 strong br,11.9380945112
25,0002 strong make,11.2449473307
26,001 916,11.9380945112
27,001 916 843,11.9380945112
28,0019 provided,11.9380945112
29,0019 provided direct,11.9380945112
30,002 24,11.9380945112
31,002 24 open,11.9380945112
32,00531,11.9380945112
33,00531 124290,11.9380945112
34,00531 124290 strong,11.9380945112
35,0065,11.2449473307
36,0065 place,11.9380945112
37,0065 place note,11.9380945112
38,0065 representatives,11.9380945112
39,0065 representatives available,11.9380945112
40,0072,11.9380945112
41,00ny,11.9380945112
42,00ny contact,11.9380945112
43,00ny contact 315,11.9380945112
44,00pm,9.99218436217
45,00pm et,9.99218436217
46,00pm et called,11.2449473307
47,00wdc,11.9380945112
48,00wdc welcome,11.9380945112
49,00wdc welcome 866,11.9380945112
50,01 available,11.9380945112
51,01 available sat,11.9380945112
52,01022015 scheduled,11.9380945112
53,01022015 scheduled time,11.9380945112
54,01052015 collection,11.9380945112
55,01052015 collection support,11.9380945112
56,0106 pm,11.9380945112
57,0106 pm okay,11.9380945112
58,01062015 scheduled,11.9380945112
59,01062015 scheduled time,11.9380945112
60,0109however,11.9380945112
61,0109however just,11.9380945112
62,0109however just need,11.9380945112
63,0111 0127,11.9380945112
64,0111 0127 cancel,11.9380945112
65,01112015 let,11.9380945112
66,01112015 let check,11.9380945112
67,011215 need,11.9380945112
68,011215 need help,11.9380945112
69,011315 just,11.9380945112
70,011315 just future,11.9380945112
71,01132015 scheduled,11.9380945112
72,01132015 scheduled time,11.9380945112
73,01142015 help,11.9380945112
74,01142015 help correct,11.9380945112
75,0115 check,11.9380945112
76,0115 check status,11.9380945112
77,0116 accounts,11.9380945112
78,0116 accounts team,11.9380945112
79,0116 process,11.9380945112
80,0116 process complete,11.9380945112
81,011615 assured,11.9380945112
82,011615 assured services,11.9380945112
83,011615 cancel,11.9380945112
84,011615 cancel pending,11.9380945112
85,01162014,11.5326294031
86,01162014 received,11.5326294031
87,01162014 received card,11.5326294031
88,0117 work password,11.9380945112
89,011715 wish,11.9380945112
90,011715 wish extension,11.9380945112
91,0118 authorizing,11.9380945112
92,0118 authorizing cancel,11.9380945112
93,011815 cable,11.9380945112
94,011815 cable services,11.9380945112
95,01182016,11.9380945112
96,01182016 regarding,11.9380945112
97,01182016 regarding situation,11.9380945112
98,011915 021815,11.9380945112
99,011915 021815 advice,11.9380945112
100,01192015 wch,11.9380945112
101,01192015 wch expires,11.9380945112
102,0120 nit,11.9380945112
103,0120 nit need,11.9380945112
104,01242015 check,11.9380945112
105,01242015 check calling,11.9380945112
106,0126 account service,11.9380945112
107,0126 restarted,11.9380945112
108,0126 restarted service,11.9380945112
109,0127 9am,11.9380945112
110,0127 9am time,11.9380945112
111,0127 cancel,11.9380945112
112,0127 cancel cable,11.9380945112
113,0127 cancel service,11.9380945112
114,0129 cancel,11.9380945112
115,0129 cancel service,11.9380945112
116,012915 avoid,11.9380945112
117,012915 avoid service,11.9380945112
118,0131 contact,11.9380945112
119,0131 contact team,11.9380945112
120,0131 restore,11.9380945112
121,0131 restore services,11.9380945112
122,016,9.41236586692
123,016 check,11.9380945112
124,016 check provide,11.9380945112
125,016 mon,9.54019923843
126,016 mon fri,9.54019923843
127,02 2015 wch,11.9380945112
128,0203 make time,11.9380945112
129,0210 avoid,11.9380945112
130,0210 avoid disconnection,11.9380945112
131,0218 available,11.5326294031
132,0218 available et,11.5326294031
133,021815,11.9380945112
134,021815 advice,11.9380945112
135,021815 advice cancel,11.9380945112
136,0258,11.5326294031
137,0258 strong,11.5326294031
138,0258 strong convenience,11.5326294031
139,0264,11.5326294031
140,0264 ahead,11.9380945112
141,0264 ahead document,11.9380945112
142,0300,10.4340171145
143,0300 ask,11.9380945112
144,0300 ask customer,11.9380945112
145,0300 monday,11.9380945112
146,0300 monday saturday,11.9380945112
147,0300 office,11.2449473307
148,0300 office hours,11.2449473307
149,032 6608,11.9380945112
150,032 6608 arrange,11.9380945112
151,0330,11.9380945112
152,0330 726,11.9380945112
153,0330 726 2677,11.9380945112
154,0345,6.15889539729
155,0345 257,11.9380945112
156,0345 257 7271,11.9380945112
157,0345 640,6.17133723741
158,0345 640 0700,10.6853315427
159,0345 640 2020,6.19830159905
160,0345 640 3030,10.146335042
161,0345 6400,10.5518001501
162,0345 6400 700,10.5518001501
163,03456,10.8394822226
164,03456 40,11.2449473307
165,03456 40 2020,11.2449473307
166,03456 400,11.5326294031
167,03456 400 700,11.5326294031
168,03456402020,11.9380945112
169,03456403030,11.5326294031
170,03456403030 transferred,11.9380945112
171,03456403030 transferred right,11.9380945112
172,0384,11.2449473307
173,0384 new,11.2449473307
174,0384 new secure,11.2449473307
175,0402337213sim,11.9380945112
176,0402337213sim only45,11.9380945112
177,0402337213sim only45 plan,11.9380945112
178,0419269861samsung,11.9380945112
179,0419269861samsung s5,11.9380945112
180,0419269861samsung s5 blue80,11.9380945112
181,0434014810,11.9380945112
182,0434014810 cancelled,11.9380945112
183,0434014810 cancelled place,11.9380945112
184,0447,10.6853315427
185,0447 assist,11.9380945112
186,0447 assist phone,11.9380945112
187,0447 dont,11.9380945112
188,0447 dont chat,11.9380945112
189,0447 open,11.9380945112
190,0447 open mondays,11.9380945112
191,0451,10.8394822226
192,0451 available,11.5326294031
193,0451 available 24,11.5326294031
194,0451 representative,11.2449473307
195,0451 representative available,11.2449473307
196,050,11.5326294031
197,050 available,11.5326294031
198,050 available monday,11.5326294031
199,0500,7.12998348124
200,0500 001,11.9380945112
201,0500 001 916,11.9380945112
202,0500 210,11.9380945112
203,0500 210 352,11.9380945112
204,0500 800,8.76004068088
205,0500 800 255,8.76004068088
206,0500 able,11.9380945112
207,0500 able help,11.9380945112
208,0500 assist,11.9380945112
209,0500 assist inquiry,11.9380945112
210,0500 assisted,11.9380945112
211,0500 assisted faster,11.9380945112
212,0500 best,11.9380945112
213,0500 best team,11.9380945112
214,0500 business,11.5326294031
215,0500 business hours,11.5326294031
216,0500 connect,11.9380945112
217,0500 connect manager,11.9380945112
218,0500 connected,11.9380945112
219,0500 connected person,11.9380945112
220,0500 convenience,11.5326294031
221,0500 customer,11.9380945112
222,0500 customer support,11.9380945112
223,0500 direct,11.5326294031
224,0500 direct number,11.5326294031
225,0500 jeff,11.9380945112
226,0500 mon,9.23004431013
227,0500 mon sun,9.23004431013
228,0500 monday,10.6853315427
