,Account Disabled,Account Info,Account Setup,Add Ons,Additional User,Anti Virus,App Issue,Appointment,Bill Explaination,Bill Related,Block Calls,Cable Box Not Working,Cable Issue,Call History,Caller Id,Cancellation,Change Package,Channel Issue,Channel List,Chhange Address - My Move,Dail Tone Issue,Details Of Existing Plan,Digital Adapter,Dvr Issue,Email Issue,Home Wifi,Internet Not Working,Login Issue,Make Payment,Modem Issue,Modem Setup,Multiple Tv,Odc-Not Working,Odm,Online Tv Issues,Order Status,Payment Status,Phone Cancellation,Phone Not Working,Phone Setup,Plan Explaination,Purchase Modem,Receving Bill - Paper&Paperless,Refund,Remote,Return Box,Service Availablity,Service Issue,Signal Issue,Smart Tv,Speed Issue,Streaming,Tv Not Working,Tv Setup,Twc Id,Update,Upgrade Plan-Internet,Voice Mail,Wifi Password
Login Issue,0.013631551364,0.00312148694852,0.0195007582851,0.00340546713189,0.00654535694015,0.00205060543171,0.00392395228341,0.000500450623377,0.00301491991321,0.00135116864043,0.00317847227094,0.00227338875224,0.000804239383498,0.00311112360827,0.0011792884629,0.0016860732618,0.00274928173758,0.00693368961873,0.00201337563994,0.00204900535452,0.00250121104108,0.000356591493012,0.00364839207224,0.000687160657773,7.16213401121e-06,0.000109119153412,0.00149808884487,0.596897830966,0.00218493669229,0.00155708791087,0.0274868193526,0.00363766710995,0.00196251983007,0.00197237593181,0.00286217126877,0.00257711854195,0.0024872157766,0.00356669381371,0.00256117300897,0.00138459890604,0.00202927180895,0.000169790780869,0.00354836964066,0.00371876655653,0.00149106841995,0.00337168572009,0.00161658222696,0.0024182261863,0.00116489433729,0.00240674960764,0.000816693937183,0.00253172811525,0.00201085370523,0.00206468243396,0.00491187983554,0.164112626214,0.00130520365957,0.00132297044584,0.05601836621
Login Issue,0.0172344478528,0.0306778638443,0.021969893617,0.00045900119623,0.000437060708923,0.000964568332794,0.000466609598909,0.00603656391714,0.000328403349049,0.00201385245523,0.00048261005001,0.00351161707623,0.00435550058195,0.000417663509001,0.00121885395294,0.00145006996948,0.000271832980368,0.00477143250876,0.00192478905453,0.00176072115957,0.000684147189753,0.00154718205528,0.000300498488556,0.00309159106405,0.00657646143067,0.0101357896877,0.00952272995402,0.800196428792,0.000915163716761,0.00218345895031,0.0124479149881,0.000100724876471,0.00229885686872,0.00072161574934,0.00351273076357,0.00038503977551,0.000730146678793,0.000286237960378,0.00138385151121,0.00169513074091,0.000373452653544,0.00113101602465,0.00020725700463,0.000144958112046,0.00390308572134,0.000156848096153,0.00068358693416,0.00346721919405,0.00521766018779,0.000809463553191,0.00301789495032,0.00179441340492,0.000937523778851,0.00199037255715,0.0034898789172,0.00327199369209,0.000997720433854,0.00497909461724,0.00395750320972
App Issue,0.00434204144935,0.0370816413068,0.0188596421184,0.00803525451213,0.00801864856991,0.0103778235749,0.10485008983,0.0605319572997,0.0149592026562,0.0196726223637,0.00970600319502,0.0219126620397,0.00512395676304,0.0177988500165,0.00861066020447,0.0177283096879,0.0192227591984,0.0239290595804,0.0106899926009,0.0158146474538,0.00883363469267,0.0148840639813,0.0105619160379,0.00651207920069,0.0213367142471,0.00642388491053,0.0108224976562,0.0348057686854,0.011707402842,0.00832087627668,0.0250193611773,0.00819033269522,0.0166725044908,0.0205875419833,0.0162856682821,0.0116630704594,0.00714687018324,0.0114559014417,0.00190946896767,0.0163963909201,0.01178162103,0.00804676673434,0.0102026516008,0.0204380180388,0.0067094725611,0.00974104986461,0.0296904067655,0.0455095611254,0.0172498489289,0.0130968203214,0.0112783977345,0.010026743635,0.00648023091772,0.0185829575966,0.0206226255095,0.0140546953629,0.0186987860126,0.0137237674556,0.0072638052518
Modem Setup,0.000306854932561,0.00729419884301,0.00331038317422,0.000328125623299,0.00107740576256,0.000846065421912,0.000594667271379,0.00797749532325,0.000772649958631,0.00140122108923,0.00133452174964,0.00565862823844,0.0569924414378,0.00104084900933,0.000324949552638,0.000349155926872,0.000416260542962,0.000888622852925,0.00164271269246,0.00297682682058,0.000430784941622,0.00118397159522,0.000804204457799,0.000870578424196,0.000168742038384,0.00189553163364,0.00234520032349,0.00224360397428,0.000608579689697,0.00115327714001,0.781234859323,0.000264445440114,0.000398986511122,0.000326263788972,0.000522697028627,0.00149336652451,0.000277294715663,0.00029456364644,0.000198361644474,0.00165843876398,0.00705774789738,0.0654807974222,0.000240992190004,0.000439935465362,0.0027413543399,0.00618108267947,0.000510719342048,0.00686144555537,0.00402241309721,0.000952977488114,0.00280408672624,0.00102283099065,0.000463061945731,0.00159553607967,0.00108053490164,0.000817000747022,0.00180964929351,0.0010359604248,0.000974085585076
Home Wifi,0.00227165420802,0.00227639170566,0.000314177019136,0.00223515770781,0.00231189528818,0.00167626384694,0.000969926445867,0.000564162725968,0.00598541260483,0.0049003821044,0.000567133536299,0.00848751136464,0.000306211997885,0.000623567725216,0.00244624927285,0.000528839743327,0.0035515789804,0.00147481363939,0.00307172568709,0.00139917510522,0.0240253162167,0.00134104024154,0.00118551660969,0.000848158166623,0.00108285189853,0.678357725084,0.00712001819301,0.000343406971677,0.00162198679711,0.00543725329209,0.12007355654,0.00143209281511,0.00423606208744,0.00410131375973,0.00309123049086,0.00393317145493,0.00134436316091,0.00083612783063,0.0182402811926,0.00137301792929,0.00804137867714,0.0273156775399,0.00057763157804,0.000644721041685,0.000680255772193,0.00285437264156,0.000707284653141,0.0029706036271,0.00294067786872,0.000998479597646,0.00562830745044,0.00158976697226,0.00269707755403,0.00147734093402,0.000458143801444,0.000319074573309,0.00180569423535,0.000486294293211,0.0118204957463
Service Availablity,0.00127141351422,0.00312044528496,0.00110476123242,0.00123045216227,0.000501016060215,0.00193021530632,0.00146241797528,0.00568327768626,0.00236508038904,0.00175740266785,0.000312443634147,0.00277733227264,0.00454440534707,0.000798366336151,0.00333676943833,0.00721172155008,0.000627141099696,0.00413460000026,0.00192458491553,0.00216511054613,0.00342921005727,0.0150142046829,0.000373299539466,0.00137949452282,0.00324563200061,0.00392043752045,0.196997647438,0.00185496583414,0.00140256110023,0.00263756548791,0.00239209415975,0.000629187439239,0.000424323111666,0.00202021727347,0.00371398835689,0.00148651847217,0.00181248304747,0.00112597240898,0.0576365168693,0.00944073544007,0.0209465541182,0.00893305973261,0.000532190855049,0.000579350675958,0.00153864076105,0.000716215334814,0.310244872464,0.118960627699,0.116593702295,0.00175769975912,0.0277322468234,0.0025877656857,0.00609604802147,0.00960463936742,0.00208834476829,0.00322444658811,0.00633458634441,0.00103293143007,0.00130006509423
Service Issue,0.0228118524232,0.0340631480118,0.0110309963629,0.0159367949939,0.0126135162071,0.0130812579095,0.0160826350341,0.0179956497819,0.0147534517253,0.00595880290569,0.0216080492631,0.0225844020943,0.0119082808474,0.0185173829764,0.00619628985903,0.0117581298659,0.016327647583,0.0366023732038,0.0157727045307,0.0164493198562,0.0159862777858,0.0168626961411,0.0130154022836,0.0133357258289,0.019021194461,0.0152702190235,0.0231331555017,0.0297543776268,0.0150082315383,0.0208446353428,0.0127446422204,0.0185603893764,0.0122145378519,0.0130067055705,0.015758627611,0.0156412242035,0.0111129864796,0.0189820217354,0.0195665335096,0.0177084015767,0.0283304325504,0.0276821426654,0.0131952233964,0.0111172695201,0.0104617732247,0.012941774234,0.0216859829182,0.0422368397333,0.0175753307688,0.0116287680811,0.0175590532341,0.0132191134308,0.0104483109178,0.0154116021926,0.0208373047714,0.0204377847049,0.00828459052667,0.00917451466194,0.0081915173639
Cable Issue,0.0199712804477,0.00860846958086,0.0179857986283,0.000557000602291,0.00116572941427,0.00453743280225,0.00241701250644,0.0701323900404,0.00134883282366,0.003008487999,0.00321758630022,0.0157861194898,0.162196195693,0.00140530634034,0.0807507792177,0.00401954545597,0.000567808820403,0.0195205818033,0.0074354248029,0.00510312859791,0.000580223140598,0.0222640807385,0.00143791482042,0.00775018651307,0.0270086273636,0.0498896508295,0.0940039284608,0.0816448562002,0.00239688657098,0.0038410441569,0.0539145565226,0.000151851383177,0.00133017716291,0.00176966588338,0.00655268213771,0.000865914291345,0.00110066728007,0.000508290501425,0.00590787829386,0.00604426401578,0.00649239284579,0.0280050911189,0.000177343696191,0.000557372335114,0.00694222873836,0.000788500470775,0.00603549179785,0.0365546470143,0.0599409177166,0.00162453472733,0.0126597810471,0.0035984259823,0.00213853090308,0.00341729538481,0.00292278820964,0.00993660050619,0.0101509591104,0.00425051337062,0.00510832739111
Modem Setup,0.014238808196,0.0460400107841,0.00104367761004,0.00101525997555,0.00016153492039,0.00199515536689,0.000552833850502,0.0300172940146,0.00186966320729,0.00501279419211,0.00041566180139,0.01707447363,0.014156690869,0.000105214601505,0.00193920187624,0.00512358678594,0.000358624235269,0.00888044933498,0.00447659841694,0.00239005825607,0.000777068591153,0.00927720224274,0.000127733981401,0.00252612888351,0.0140380820121,0.152675476819,0.0207326060815,0.0112315181468,0.000768887573507,0.00220655977802,0.228269800199,6.41187408113e-05,0.00121397656203,0.00151471510755,0.00129839073373,0.000943356369023,0.00064407283364,0.000102784038774,0.00926373667596,0.00210929602564,0.0137190989891,0.0490501441189,0.000132500804173,0.00016814239472,0.00201552901233,0.00014570451779,0.00332773449598,0.020274935934,0.0334465126784,0.000552339751147,0.202714619588,0.00168605440451,0.00246913560574,0.00495458766282,0.00222145795773,0.0048803243295,0.00287015658974,0.00179130745574,0.0369266103888
Login Issue,0.0136092914657,0.0311589592746,0.00461494830106,0.00272610257672,0.00205413202031,0.00285131919787,0.00248691002873,0.00811106391944,0.00401920916416,0.00977569780416,0.00272411674464,0.0409021536617,0.00968739286887,0.00552094483613,0.0101570600553,0.0116209554092,0.00156974582096,0.00795585168033,0.00297682839318,0.00509583523858,0.00358675009665,0.0165132051542,0.00240823875681,0.0172505611321,0.0007599549956,0.00865658443495,0.00892414641089,0.567302217716,0.00502560993512,0.00750340544536,0.00563643737602,0.00219376924059,0.00576228110109,0.00223372278737,0.0087123424395,0.00501627392781,0.00954753654868,0.00240141859455,0.00720343208222,0.0106509224482,0.00294934906505,0.0052271955149,0.0024329155508,0.00154003638831,0.00546315927279,0.00192865935843,0.00523955458695,0.00652938333646,0.0108547676859,0.00308605301243,0.0124113038144,0.00754046826405,0.00582420409506,0.0103671693788,0.0142029761268,0.00402886244716,0.0104960516466,0.00684594764439,0.00612461372573
