,0
0,-3.53699478545
1,-3.12192234295
2,-3.44147069723
3,-3.36451657379
4,-3.35477711623
5,-3.23485027482
6,-3.33560258509
7,-3.34418008221
8,-3.26124049073
9,-3.33217500107
10,-3.06908145878
11,-3.33396479914
12,-3.39189745333
13,-3.34053144973
14,-3.44419676142
15,-3.35511394572
16,-3.15641973586
17,-2.6200761573
18,-3.51789480285
19,-3.28421568794
20,-3.35653875476
21,-3.41147429695
22,-3.24408016414
23,-3.33022021553
24,-3.51127951657
25,-3.60247503137
26,-3.15735027483
27,-2.99442110499
28,-3.31417064878
29,-3.41687028799
30,-3.50759250531
31,-3.29820477337
32,-3.29405049131
33,-3.35145175517
34,-3.39654339158
35,-3.24668533772
36,-3.31630577506
37,-3.29876345424
38,-3.39625282221
39,-3.35016695794
40,-3.09817570719
41,-3.45426722996
42,-3.27584436038
43,-3.31847918025
44,-3.4185577488
45,-3.27758547482
46,-3.37597542025
47,-2.75867211427
48,-3.25974868335
49,-3.38763207984
50,-2.89676079367
51,-3.38834943583
52,-3.22874068133
53,-3.34792463601
54,-3.42290624965
55,-3.42114396905
56,-3.46084633947
57,-3.35548345864
58,-3.77932449167
