lineText,sessionId,y_pred,y_prob_max,y_true
reset password,ID1236235171,Login Issue,0.596897830966,Login Issue
not able to login into my timewarner account,ID1225008231,Login Issue,0.800196428792,Login Issue
question regarding time warner being provider for an app,ID1224521539,App Issue,0.10485008983,App Issue
new cable modem - need to activate it,ID1223704890,Modem Setup,0.781234859323,Modem Setup
wifi is turned off on ubee modem,ID1235824174,Home Wifi,0.678357725084,Home Wifi
home phone internet and tv are all down  is there a service disruption in my area,ID1232603363,Service Availablity,0.310244872464,Phone Not Working
checking whether twc blocks any ports inout of customers,ID1224616746,Service Issue,0.0422368397333,Service Issue
i also need cable run in my office to be able to connect properly for working office job at my home,ID1231062899,Cable Issue,0.162196195693,Cable Issue
 i am switcng to time warner cable for a triple play  the installation is scheduled for ts coming thursday nov 6 the phone number attached to my account is 8172518534  my name is parag sanghvi and my address is 2701 yorksre court grapevine tx  76051  my question is  what modem-wifi router will t supply with the install and what are its fastest wireless download speeds,ID1219808634,Modem Setup,0.228269800199,Speed Issue
i forgot my login information,ID1233590373,Login Issue,0.567302217716,Login Issue
i have turbo internet and just had a modem swap today yet my download speed is only 50 mbps,ID1219141408,Speed Issue,0.817086009649,Speed Issue
i would like to use my own wifi router,ID1235805181,Home Wifi,0.353932437982,Purchase Modem
trying to log on to tw online to watch a walking dead episode and i cant sign on help thanks penelope,ID1236107318,Login Issue,0.615243524676,Online Tv Issues
cable box wont reboot,ID1235150890,Cable Box Not Working,0.509514511263,Signal Issue
articles on home page now have advrtizements that pop up and obscrure the article until the advertisement is viewed  ts is unacceptable since i already pay for the twc service  i should not have to watch videos to pay for it a second time  ts is all the more maddening as i pay nearly 200 a month for internet and basic cable wle you are offering it on television for less than 100  congratulation on making me feel like a patsy  i am actively looking for alternatives and will be callin,ID1229331728,Speed Issue,0.192768998059,Add Ons
my on demand channels are not working i have already unplugged the biox and rebooted it,ID1226556574,Channel Issue,0.49387162853,Odc-Not Working
why is my internet slow i have ultimate but speed is 37 not 50,ID1222935414,Speed Issue,0.951417323214,Speed Issue
i cant connect to wifi from my mobil devices,ID1228508987,Home Wifi,0.626936096841,Home Wifi
hbo technical problem,ID1237054884,Channel Issue,0.272842392499,Channel Issue
need to activate a different outlet in our house - moving cable box  wiring already in place,ID1226155689,Cable Box Not Working,0.187461931532,Chhange Address - My Move
unable to login to my tw account,ID1229383141,Login Issue,0.654269113586,Login Issue
i forgot my password to my wifi and i want to connect a device to it how can i find out what my password is to my ubee,ID1236103520,Login Issue,0.589460887996,Wifi Password
i have an email acct i am unable to access,ID1221877135,Email Issue,0.48179026464,Email Issue
can i move my service to brooklyn,ID1235455832,Service Issue,0.155573102877,Purchase Modem
"how to i find "" how to train your dragon 2 hd"" in ""on demand""m ",ID1236141214,Odc-Not Working,0.107054648582,Odc-Not Working
how to watch tv on my app,ID1235169046,App Issue,0.266008173338,Signal Issue
yesterday i stopped receiving emails on my computer  i just got a new phone and it is not receiving emails either neither is my ipad mini  i have all apple products  i tried to go on-line to view my emails and i dont remember my password when t asked me my security question i could not answer it correctly eitheri dont know what to do,ID1226531031,Login Issue,0.346136280429,Email Issue
how do i turn off the energy saver feature on my remote,ID1225986982,Remote,0.627792883035,Remote
my email is in two accounts,ID1225958123,Email Issue,0.629986692662,Update
my home wifi is incredibly slow what can i do to speed it back up,ID1228580584,Speed Issue,0.871297133718,Speed Issue
installing new modem,ID1224990956,Modem Setup,0.552859252477,Modem Setup
account log on has been disabled,ID1229828610,Login Issue,0.422951602299,Login Issue
purchased a smart tv and would like to know if there is a specific box to connect to the tv,ID1231460415,Signal Issue,0.263700138956,Tv Setup
 my prblem is i upgraded to dual modem to have a wifi connection it work on cellphonesand internet i just cant get it insyalled on my lg smart tv it wont accept a password help,ID1231287159,Modem Setup,0.3753612885,Tv Setup
i am not able to login to my account,ID1230705911,Login Issue,0.741431483321,Login Issue
"no phone all day when tried to call home it tels me "" due to network difficulties your call can not be made at ts time"" any idea when the problem will be resolved",ID1229846898,Phone Not Working,0.35116551252,Phone Not Working
how to check twc wifi internet speed without connecting your laptop directly to your modem or router,ID1236259694,Modem Setup,0.465878299445,Speed Issue
cable box is unresponsive - cant change channel w remote or directly on the box,ID1228525672,Cable Box Not Working,0.512215599435,Cable Box Not Working
dont remember my password,ID1230900683,Login Issue,0.737469145562,Login Issue
i am unable to call right now because i am working but my cable is not working  i have not received a shut off notice i usually make arrangements and postdate a check wch i was going to do on monday  all channels say call 972picktwc,ID1231965183,Channel Issue,0.377815048267,Cable Issue
i dont know my time warner log in information for using tv apps like hbo go can you please help,ID1226895827,Login Issue,0.385132263968,Login Issue
in addition would ts delivery require a technician to come to my home to set kit up seeing as i work full hours and cannot wait for a tcechnincian i was wondering what my options will be  i would like order a dvr for an optimum tv however the only option offered is to visit an optimum store to pick it up the other options- call 866 218-3259- cause cause for concern even if  i call the number provided  and am able to order i work full hours and cannot wait for a tcechnincion   what are ,ID1229348763,Appointment,0.312456894746,Tv Setup
we picked up a new cable boxremote today and we are having fits with trying to program the remotewe have tried every way possible and cannot get it to work  can you help,ID1233585304,Modem Setup,0.166352385953,Remote
my wifi is very spotty and often does not work,ID1231544457,Home Wifi,0.59174475867,Home Wifi
is it possible to get a hardwire connection in another room from where my modem is currently,ID1229720419,Modem Setup,0.177862733095,Modem Setup
channel guide is sorting alphabetically,ID1228379814,Channel List,0.341955737861,Channel List
ive closed my account but would like to pay my last bill,ID1230398705,Account Info,0.15381864386,Bill Related
 for the last two weeks my espn channel has been missing twice ive called about it and it will be fixed but only lasts for a few hours then goes missing again,ID1230993295,Channel Issue,0.449177167172,Channel Issue
i am having trouble logging in can you let me know my username,ID1232644697,Login Issue,0.673564939094,Login Issue
internet connection down,ID1235341457,Internet Not Working,0.515921709569,Internet Not Working
upgraded to extreme 10026 hours agojust getting 20 down and 1 up  need my 100 down and 5 up please,ID1221311241,Speed Issue,0.522789635011,Upgrade Plan-Internet
i havent received emails on my elainegordonaustinrrcom account since monday  have uninstalled and reinstalled have checked roadrunner online instead of through my email app have tried on several devices notng is there  how do i troubleshoot,ID1234549659,Email Issue,0.515639014185,Email Issue
i need to schedule another appointment,ID1221359762,Appointment,0.601101777877,Appointment
i need my phone number,ID1228115872,Phone Not Working,0.368586591025,Account Setup
i am only getting 15mbps download speeds,ID1221463895,Speed Issue,0.367223821105,Speed Issue
i never setup a twc id but it says one already exits  how do i reset that acct,ID1221933279,Login Issue,0.0996778557326,Account Info
need a replacement remote,ID1232575319,Remote,0.588504686236,Remote
bill,ID1229940997,Bill Related,0.225356055883,Bill Related
 i was chatting with ronin and lost connection just before he had time to give me the day and time of my appointment with a technician,ID1232208427,Appointment,0.398893612781,Appointment
receiving mail delivery failure notices,ID1223750962,Email Issue,0.252832231921,Email Issue
where i buy the cable box,ID1224111313,Cable Box Not Working,0.425280426443,Service Issue
my internet stops working repeatedly,ID1229513489,Internet Not Working,0.793796543991,Internet Not Working
ive been locked out of my account,ID1232332097,Account Disabled,0.671867679474,Login Issue
i am receiving email bounce back saying  my mail server 10714166227 has been blacklisted,ID1221649283,Email Issue,0.504104750381,Email Issue
trying to register for starz - account disabled,ID1235949763,Account Setup,0.222220201378,Account Disabled
please activate my internet service order 2003006996 mac address 001adeadfa7a,ID1227395941,Internet Not Working,0.405890503147,Service Issue
unablel to access phone feature to block a number,ID1235919217,Block Calls,0.322630406151,Phone Not Working
mounting bracket for modem,ID1224892551,Modem Setup,0.530676075461,Modem Setup
needed my phone turned on at a cheap rate,ID1234077664,Phone Not Working,0.415631237099,Phone Setup
cable outlet,ID1223385121,Cable Issue,0.425290596277,Cable Issue
why does every sunday the football channel 9 does not come in,ID1235284017,Channel Issue,0.325554787227,Channel Issue
need password,ID1222002544,Login Issue,0.7354892801,Login Issue
how can i get my multi-room dvr to work on my other tvs i have cable boxes on the other two tvs,ID1224184917,Speed Issue,0.361213790415,Dvr Issue
i need help getting a twc id,ID1229923702,Twc Id,0.281050549548,Account Info
tv and internet not working,ID1224519779,Internet Not Working,0.686926109574,Internet Not Working
access to my email,ID1219753685,Email Issue,0.676989836858,Email Issue
i would like to be able to log into my modem at home but from my office outside of the home  at home i can log in just fine using the 19216801 ip   is there a similar ip i can use to log into the same place but from the internest side  how do i do ts,ID1223163603,Modem Setup,0.528077781839,Login Issue
does motorola sb5101u surfboard modem is compatible with twc internet,ID1236065263,Internet Not Working,0.342139586474,Purchase Modem
cant access email  i just paid bill,ID1228420261,Email Issue,0.3839334084,Email Issue
i do not have my account number,ID1236314233,Account Info,0.461716089437,Account Info
my cable box makes noise buzz,ID1220572962,Cable Box Not Working,0.623638068181,Cable Box Not Working
i have a service appointment that was scheduled and then cancelled and i did not cancel it,ID1232270887,Appointment,0.555275186296,Appointment
no dial tone cant make calls,ID1222633706,Dail Tone Issue,0.474385974853,Dail Tone Issue
download speed only 331mbps with speed test test timed out when i do uploading,ID1231941989,Speed Issue,0.743948231804,Speed Issue
dvr overfillsonly hold 3-4 hr long shows then starts deleting,ID1227223428,Dvr Issue,0.478472613337,Dvr Issue
my guide does not show all of the channels it is only showing approximately 30 channels,ID1232116812,Channel Issue,0.638201444108,Channel Issue
i got a new computer and as im trying to set it up is is asking for the network security key but i cant remember what ts is,ID1230804411,Modem Setup,0.307468293466,Internet Not Working
i have not been able to get a dial tone since i got my new modem last friday  i have tried both phone ports and unplugged and restarted the modem several times,ID1230226298,Phone Not Working,0.306212386563,Dail Tone Issue
i have been expriencing issues with the home wifi since we got it a couple days back the wifi frequently ccup and stop working randomly disconnect and just have unnaturally gh ping in gameswebsitesvideoes it is unacceptable ive tried talking to someone on livechat to fix it it did not work i would like ts issue to be fixed immediately or i will be cancelling services after ts month and going elsewhere,ID1235428536,Internet Not Working,0.389864491359,Home Wifi
my account has been locked i forgot my password,ID1225418845,Login Issue,0.476242742086,Account Disabled
ondemand haas not worked in over a week,ID1228839587,Login Issue,0.14076112078,Odc-Not Working
my remote is not working  i have changed the batteries,ID1228666170,Remote,0.64761365768,Remote
speed test not available,ID1223492488,Speed Issue,0.802774431574,Speed Issue
my computer seems to be infected i paid office store to fix and it works fine on at their store but when i take it home all the problems are still there  t say i need new ip address microsoft also tried to fix remotely and was unsuccessful,ID1226588610,Modem Setup,0.437643062316,Modem Setup
slow speeds -whats up,ID1225097354,Speed Issue,0.613339019815,Speed Issue
i am trying to make a login to pay online and i get an error,ID1231789707,Login Issue,0.39660691006,Login Issue
cable not working after making payment,ID1231904317,Cable Issue,0.391928037744,Service Issue
we recently upgraded our browser and now our wifi password is invalid,ID1228578457,Home Wifi,0.214373130411,Login Issue
the selectok button on my remote has stopped working completely ive rebooted the box twice and also tried fresh batteries but still no luck,ID1223648704,Remote,0.302976302227,Remote
how do i turn my call forwarding off,ID1231297019,Phone Setup,0.0773870024858,Phone Setup
why is my email for ts account being rejected,ID1222470890,Email Issue,0.744547221998,Account Info
wle trying to sign up for internet service online and prompted to enter my address and apartment number the site claims my address is a business and directs me to twcbccom instead,ID1219342138,Internet Not Working,0.251102947091,Account Setup
how do i set up internet connection to email,ID1227324799,Email Issue,0.579460512825,Email Issue
how do i port my existing number,ID1224619339,Account Info,0.0980039844918,Update
on demand not available for some channels,ID1236309953,Odc-Not Working,0.360932443951,Odc-Not Working
what internet speed do i have and what modem would be able to work at my house,ID1222566223,Speed Issue,0.569195855211,Speed Issue
why cant i log in,ID1228451878,Login Issue,0.76552787293,Login Issue
trying to logging in my account but is saying is locked help,ID1235172846,Account Disabled,0.37876878648,Account Disabled
we had our service setup today and when the tech was here he swapped our number and we had dial tone just fine  now 30 minutes later we have no landline dial tone,ID1231638460,Dail Tone Issue,0.26601492747,Dail Tone Issue
internet so slow why,ID1236057775,Speed Issue,0.888622481938,Speed Issue
wch modem that has a phone built in for twc,ID1230056517,Phone Not Working,0.309840882667,Plan Explaination
how do i re activate my account,ID1220083311,Account Info,0.303737579029,Account Disabled
my speed is way down i did a speed test and download speed is over 100 upload is only about 10 or so is ts normal phone number associated with ts account is 409-283-1991 but my husband works out of town and is not here at the house to speak to you,ID1224137359,Speed Issue,0.861201322138,Speed Issue
trying to activate hbogo and have code of h5687w but it does not work,ID1231683048,Login Issue,0.202798559848,Channel Issue
how do i access myaccount,ID1227640260,Login Issue,0.0564396636082,Account Info
how do i turn on my wifi,ID1222454096,Home Wifi,0.751796372753,Home Wifi
cant connect to internet,ID1230250193,Internet Not Working,0.769693554008,Internet Not Working
"dvr box is acting up - first the reception was terrible where it was ""stuttering"" not it wont even display a picture at all",ID1231384368,Dvr Issue,0.381290820324,Signal Issue
i need to activate my modem on my account,ID1224933821,Modem Setup,0.804170072918,Modem Setup
i need to confirm an appt please,ID1230869768,Appointment,0.389439001682,Appointment
the guidemenu is not working,ID1232168727,Internet Not Working,0.276227830945,Remote
im unable to register for a twc id  every time i try to it tells me an account already exists  wch i dont believe is true,ID1223972609,Account Info,0.209992195539,Account Setup
im paying for 30 mbps and have been getting 075 mbps all day long,ID1233405186,Speed Issue,0.442328774004,Speed Issue
new internet connection,ID1219783397,Internet Not Working,0.712178029836,Service Issue
 i would like to to connect my twc remote to my tv the only problem is that it is connected to my previous tv,ID1236204622,Remote,0.121072220477,Remote
i need to cancel my service appointment,ID1229619311,Appointment,0.615485168823,Appointment
can you give me my username and password for my wifi i can not find them,ID1234476163,Login Issue,0.571501276765,Wifi Password
my service was on suspension from april 113 until oct 114  my billing began but my tv and internet are not working  i arrived in texas yesterday and turned them on and t dont work  i would like my service resumed and the billing adjusted to show the actual service dates  i have received a bill for 19442 as if the service was correctly restarted,ID1227147915,Internet Not Working,0.273939155997,Bill Related
internet is intermitent and very slow,ID1233681308,Speed Issue,0.874436450417,Speed Issue
i need help getting into my locked out account,ID1236009073,Account Disabled,0.540754915203,Account Disabled
how can i get the byutv channel,ID1219101594,Channel Issue,0.458016079061,Channel Issue
get rid of user names,ID1219279009,Login Issue,0.138690495992,Login Issue
internet download speed is slow again - are there any service issues in our area,ID1226564306,Speed Issue,0.753480303373,Speed Issue
how can i speed up my internet,ID1223474020,Speed Issue,0.866654067441,Speed Issue
the dvr is full after cable box frooze,ID1229280261,Dvr Issue,0.641657340917,Dvr Issue
internet speed is slow,ID1222075460,Speed Issue,0.980908993761,Speed Issue
the internet was installed on tuesday and it has not been working properly,ID1222252490,Internet Not Working,0.680994373146,Internet Not Working
internet is extremely slow,ID1228388708,Speed Issue,0.920795254023,Speed Issue
how do you find the password,ID1219353077,Login Issue,0.524277770456,Login Issue
why does my username and passwod no longer exist  im trying to upgrade my cable modem to the new one time warner recently sent and have an active triple play account,ID1227691479,Modem Setup,0.50840112728,Change Package
 i need to reschedule installation visit its currently booked for tomororw friday,ID1231101812,Appointment,0.35177809543,Appointment
trouble down loading,ID1235854456,Login Issue,0.621757288521,Speed Issue
hbo channels,ID1224304289,Channel Issue,0.506501373506,Channel Issue
my fox  nbc channels keep getting scrambled,ID1219960792,Channel Issue,0.626131856643,Channel Issue
order number 3002461072,ID1229563682,Remote,0.40664778146,Order Status
wch wireless router does time warner recommend  or does time warner offer modems with built in wireless routers,ID1223979287,Modem Setup,0.232474904726,Home Wifi
i am in california and would like to report an outage for my elderly parents  their phone internet and tv are currently not working since yesterday  i do not have their account number but the phone number is 845-338-8722  account is under plip gromoll 82 hooker st kingston ny 12401  can you assist me please,ID1235140960,Internet Not Working,0.270902874796,Internet Not Working
need help logging in,ID1223982770,Login Issue,0.394065635511,Login Issue
my internet speeds have dropped to negligible speeds,ID1232195518,Speed Issue,0.759309725588,Speed Issue
tv keeps freezing,ID1228110104,Tv Not Working,0.277478706622,Tv Not Working
does my ubee modem have built in wireless  if so how do i set it up,ID1235207353,Modem Setup,0.63974366932,Purchase Modem
i tried to clear my cache by unplugging my modem for 45 minutes but the cache isnt cleared  i need to have my isp cache cleared before i can log into godaddycoms website builder  t told me that i needed to contact my isp for ts to happen,ID1220591948,Login Issue,0.335264017315,Modem Setup
my wifi password is not working on cell phone,ID1232565289,Phone Not Working,0.56303140415,Home Wifi
our speed is really slow i have compalined before we just got a brand new lap top and half the time it does not connect and says the internet has limited access if we move the laptop right by the router it works great but other deivces on the wifi have no trouble conncecting is there a more powerful router available it is located in the center of our house,ID1233194795,Speed Issue,0.508358864306,Speed Issue
intermitten internet,ID1220133406,Internet Not Working,0.638236670784,Internet Not Working
i can not sign into my account,ID1224596934,Login Issue,0.720094624594,Login Issue
internet does not work,ID1228670347,Internet Not Working,0.791413715416,Internet Not Working
how do i set up my voicemail,ID1235190027,Voice Mail,0.642059810404,Voice Mail
my internet keeps going on and off and i am not getting the full speed i should be getting,ID1233149034,Speed Issue,0.822497043277,Speed Issue
i have received a letter and an email stating that my internet speed has been increased fro 50 mbps ti 100mbps yet my speed test still shows 50,ID1219134256,Speed Issue,0.835262890938,Speed Issue
time warner has had my phone discounted to early from verizon----t said time warner had it disconnected nov17------time warner is coming to connect phone--tv-- and internect on nov 24------i have to have my phone---i am handicpp and 85 years old,ID1231113279,Phone Not Working,0.194142230445,Phone Not Working
speed is unusually slow,ID1219230782,Speed Issue,0.923444586432,Speed Issue
my online account log in id is disabled please enable it and reset my password,ID1225228469,Login Issue,0.704480369204,Login Issue
im suppose to be getting 30 mbps but im only getting 136 mbps why,ID1224315414,Speed Issue,0.549923057327,Speed Issue
i would like to know about time warner approved home wifi modems  routers,ID1229278801,Home Wifi,0.396862259759,Home Wifi
my dvr deleted all of the set recordings,ID1231305833,Dvr Issue,0.707364494051,Dvr Issue
internet seems slow and lagging ,ID1229106853,Speed Issue,0.847353314878,Speed Issue
im looking to buy my own internet modem,ID1230335491,Purchase Modem,0.586917049983,Purchase Modem
cannot connect with phone to wifi,ID1227747216,Home Wifi,0.543804560047,Home Wifi
how to forward emails from a txrrcom account,ID1224115514,Email Issue,0.48121092269,Email Issue
my modems have not been able to connect to the internet since yesterday  i tried restarting the modem several times yesterday and today in the morning  also i am not in my home at the moment so i cant really do anytng with the actual equipment and i would not have been able to contact you anyway since my phone modem is also down,ID1226757022,Internet Not Working,0.505542172934,Internet Not Working
i am not able to view channel 20  i tnk ts is included in my package so why cant i get it,ID1222724037,Channel Issue,0.499382446988,Channel Issue
i am unable to pull up my dvr recordings  i do not see a button on the remote for my recordings,ID1221247842,Dvr Issue,0.420472678105,Dvr Issue
initial rental modem setup,ID1219112791,Modem Setup,0.395959253382,Modem Setup
i purchased a modem that does not have emta how can i get emta ,ID1236146284,Modem Setup,0.419210264191,Purchase Modem
how to authorize a dvr box for service,ID1223811708,Dvr Issue,0.759094727164,Dvr Issue
i received a new modem and cant figure out how to install it  twc said that t could send a technician to install if i had a problem,ID1224230118,Modem Setup,0.532563334903,Modem Setup
i bought a motorola surfboard modem model sb6141  will ts work with time warner,ID1233502535,Modem Setup,0.382313647651,Modem Setup
i paid to get btnplus but cannot get the game,ID1224149846,Channel Issue,0.0948761217418,Channel Issue
my remote isnt working to the cable box because sometng is wrong with my cable box a tech came out on monday and told me what the problem was even though he doesnt live in my fuckin house nor watch ts television so now im back to square one because once again my fuckin remote isnt working and ya amy chat online sucks also,ID1226730119,Cable Box Not Working,0.304449696975,Cable Box Not Working
wifi not active,ID1236491131,Home Wifi,0.745597431699,Home Wifi
for the past week the service has been very slow and its taking unusually long time to download even the smallest of files,ID1224935923,Speed Issue,0.547599694228,Speed Issue
what packages do you have for wifi,ID1222957791,Home Wifi,0.397177230844,Plan Explaination
why can i not receive the hallmark stations,ID1231673138,Channel Issue,0.0888434935907,Signal Issue
how to stop receiving calls from a phone number,ID1222134536,Phone Not Working,0.363906887335,Block Calls
my internet stopped working,ID1235998455,Internet Not Working,0.825262842055,Internet Not Working
im having problem signing on,ID1234500791,Channel Issue,0.143334770215,Login Issue
"trying to register for espn3 and got ""unspecified error"" at end how sign up",ID1232309925,Login Issue,0.197684431867,Online Tv Issues
we just had a new router installed  how do i change the password,ID1231859761,Modem Setup,0.464032247038,Account Info
technician did not give me password to log into my wifi,ID1232391160,Login Issue,0.822589503655,Home Wifi
our modem was replaced now our speeds have dropped from 124 mbits to 30 mbits,ID1229048456,Speed Issue,0.39899665681,Speed Issue
we had our cable box reset last week and we are still having the same issue where on demand wont work we have called 2x about ts issue and we need to get it reset again and also set up a service call to replace the box,ID1237019662,Cable Box Not Working,0.339154922773,Odm
need help with voicezoneconnect,ID1236985411,Modem Setup,0.0609117264044,Phone Setup
cant figure out why all in house phones are indicating no line  tv and internet are working except phone lines,ID1226631100,Internet Not Working,0.334023695927,Service Issue
i was supposed to be scheduled for an install since ts past tuesday and have not gotten any service installed i need to know what is going on with my order,ID1223385124,Appointment,0.264017429849,Service Issue
i forgot my id and password how can i register again,ID1226205956,Login Issue,0.534207510276,Login Issue
how do i change settings in secondary email account,ID1231955186,Email Issue,0.585616992983,Email Issue
i want to block a specific phone number on my phone,ID1224108018,Phone Not Working,0.587708180113,Block Calls
if i use my own router and modem for internet service is there a fee for calling tech support if i have issues,ID1228913228,Modem Setup,0.407759254097,Modem Setup
"i have been trying to order the free on demand movies from fmod and epix on demand  it keeps stating ""____ is currently unavailable please try again later""",ID1219141675,Odm,0.335599680505,Odm
slow speed,ID1228581151,Speed Issue,0.934317355151,Speed Issue
whats going on with no picture for fssw now,ID1232398739,Signal Issue,0.148259670018,Channel Issue
i had problems accessing certain channels and called to resolve  resulting in a tech being scheduled for repair today however  the problems with the cable seemed to have correct itself last night  therefore the scheduled tech today will not be necessary  thank you,ID1219738863,Appointment,0.47162799344,Channel Issue
i cannot find the password for my router,ID1226690215,Login Issue,0.431439642843,Modem Setup
picture is unwatchable,ID1230714711,Signal Issue,0.354485311771,Channel Issue
im getting between 8 and 12 mbps wch really sucks for someone who pays for 50 mbps  more than once ts has happened and im getting tired of it please help me to resolved ts matter  if notng can be done let me know for i will seek an internet an internet service provider that will thanks chris,ID1229612897,Speed Issue,0.488073618254,Speed Issue
my remote to turn on the cable box is not working batteries are good and the remote turns on the tv but not the cable box,ID1232054270,Remote,0.451978508235,Remote
twc home wifi install failed on mac running os 1095 received plug-in blocked notification install cd states os 109+ isnt supported how can ts be resolved,ID1224095097,Home Wifi,0.250098003897,Home Wifi
i do not have picture on my tv screen,ID1233554265,Signal Issue,0.502198714346,Signal Issue
why am i being charged a home wifi fee,ID1220083146,Home Wifi,0.49275588682,Bill Explaination
why cant i get basic channels online when im not at home,ID1235194911,Channel Issue,0.584728827203,Channel Issue
i cannot get into twc com to my account and need help getting it fixed so i can block a bad caller,ID1229071496,Login Issue,0.158234430749,Block Calls
"i cant connect my xbox one to the wireless network and it says to contact my isp with the error ""dns isnt resolving xbox server names""",ID1230590686,Internet Not Working,0.340735290456,Internet Not Working
i have a smart tv i use to be able to get netflix search faebook and do other tngs via my tv until i had services installed how could i get that back when the tech came he changed sometng the connection cables it took me a wle to figure ts out i would like to have that back i want to use my tv t way it is intended what i bought it for,ID1232310464,Channel Issue,0.107426961881,Smart Tv
unable to activate my modem,ID1230719354,Modem Setup,0.848969281168,Modem Setup
is there outages in addison tx,ID1233346222,Service Availablity,0.121198176824,Signal Issue
i can not access my emai,ID1231062020,Login Issue,0.197832211767,Email Issue
i have been having issue for the last two weeks with the channels being black or the picture not showing,ID1229852052,Channel Issue,0.500376160472,Channel Issue
internet available in my area,ID1231649716,Service Availablity,0.392549262772,Service Availablity
wifi not connecting,ID1226235019,Home Wifi,0.736282055976,Home Wifi
no upload speed,ID1235122965,Speed Issue,0.83264832508,Speed Issue
ondemand isnt working,ID1228768488,Internet Not Working,0.114411412081,Odc-Not Working
i just need to know if my home isp has a  permanent static ip address or a dynamically assigned dhcp ip address,ID1234555375,Modem Setup,0.5493655423,Modem Setup
we are experiencing dramatically lower internet speeds than were promised when we signed our agreement download speeds were just tested at 3755mbps can you please address please see the link httpwwwspeedtestnetresult3910586189png,ID1227712372,Speed Issue,0.591271604753,Speed Issue
i just got my samsung box installed ts morning my channel guid and info screen aint popping up when i press the botton on the remote nor on the box i called the tec earlier he said theres an error in the system and for me to wait it out but its been hours later now and still same problem,ID1231751819,Channel Issue,0.329102034704,Channel Issue
very very slow,ID1237009791,Speed Issue,0.549203407519,Speed Issue
service unacceptably slow,ID1229271301,Speed Issue,0.666275983646,Speed Issue
how do i know wch modem i need ie a plan up to 50 mbps or 100 mbps etc,ID1232233639,Modem Setup,0.221169412458,Purchase Modem
how do i return my modem,ID1228857761,Modem Setup,0.509468147822,Return Box
why wont my very smart tv and dvd player not connect to the network,ID1224314657,Signal Issue,0.38737276305,Smart Tv
not getting good connection in front bedroom and having trouble with multiple users,ID1224127873,Login Issue,0.345652591531,Cable Issue
how to setting my home wifi ,ID1235419193,Home Wifi,0.775780421875,Home Wifi
still couldnt login with my twc id after reset,ID1232286196,Login Issue,0.495558913841,Login Issue
password reset,ID1221126024,Login Issue,0.596897830966,Login Issue
internet connection problems,ID1227034416,Internet Not Working,0.697063170484,Internet Not Working
how can i check speed,ID1225253843,Speed Issue,0.644956801989,Speed Issue
trying to sign in im locked out,ID1228444930,Login Issue,0.467819410958,Login Issue
wifi speed suddenly very slow,ID1229221519,Speed Issue,0.885913231861,Speed Issue
how to hook up vhsdvd player,ID1229216364,Modem Setup,0.167340102254,Dvr Issue
i need to transfer my services to a new address,ID1222604467,Modem Setup,0.250511822267,Chhange Address - My Move
after installing television service today apparently my home phone number was changed,ID1231385649,Phone Not Working,0.274571546481,Account Info
if i get a package that doesnt have the free home wifi but i have my own router can i still get wifi,ID1231400674,Home Wifi,0.523920249889,Details Of Existing Plan
low speed,ID1220031164,Speed Issue,0.752330187953,Speed Issue
i am unable to access my home phone voicemail it says i have tried to enter my password to many times help,ID1224672869,Login Issue,0.215229310541,Voice Mail
setup online account says already have account i have forgotten my information,ID1224566872,Account Disabled,0.28096911139,Login Issue
i want another box,ID1224221944,Cable Box Not Working,0.47657547092,Cable Box Not Working
id like to lower my monthly bill,ID1233166841,Account Info,0.196353036313,Plan Explaination
on demand isnt working,ID1232368266,Odc-Not Working,0.37294179425,Odm
i cant seem to log in,ID1226163970,Login Issue,0.790955618931,Login Issue
any features in the modem that can help with internet phone receiving calls from another voip system like avaya,ID1228924997,Phone Not Working,0.246508086942,Modem Setup
is there sometng wrong with the cable in my area,ID1228388716,Service Availablity,0.282543028746,Cable Issue
i was told yesterday that hbo would be added to our package is that an immediate update or does it take a wle for it to actually be added  i didnt see the channel in our channel guide ts morning,ID1231800002,Channel Issue,0.558899640051,Channel Issue
davidhammacksatxrrcom is no longer working  why not,ID1235561907,Internet Not Working,0.254641432762,Login Issue
want an appt for an agent to come out to my home,ID1236962839,Appointment,0.489223164168,Appointment
my phone has been turned off,ID1229672669,Phone Not Working,0.504027546396,Phone Not Working
i need to activate my modem,ID1235241925,Modem Setup,0.877271520365,Modem Setup
