,Account_Enquiry,Cancellation,Checkout Issue,Color,Giftcard_Issues,Layaway Query,Manufacturer Information,Material,Order_Assistance,Order_Issue,Payment Issues,Plan Device Upgrae,Price Match,Price _Enquiry,Product Comparison,Product Details,Product Inventory,Promotions/Deals/Discounts,Return Policy,Rewards,Shipping Inquiry,Size-Shape,Store_Pickup_Queries,System Issue,Warranty Enquiry
Product Details,-1.50279467975,-1.2705385158,-1.28774013602,-1.37766098691,-1.49477490373,-1.47190604638,-1.29646552152,-1.51270833711,-1.85991903075,-1.64505243316,-1.05144040497,-1.26398360159,-1.17920266086,-1.29531350061,-1.36267928477,0.0811738942782,-0.543990710616,-1.83739010955,-1.45981191954,-1.11622486656,-1.15004636745,-1.91139648019,-0.054491515939,-1.27151065185,-1.27210492167
Shipping Inquiry,-0.88696862581,-0.905756205142,-1.21523238997,-1.12921528319,-1.31243796075,-1.49163679335,-1.1889797635,-1.11308072772,-1.55756900498,-0.918749420165,-1.55585222977,-1.24420434134,-1.22233147661,-1.42377643957,-1.28232681782,-1.49759040602,-1.69558948401,-1.12794812184,-1.07909139263,-1.04620425488,0.612053211808,-1.2612615158,-1.0384192392,-1.10504293052,-1.06184572504
Order_Issue,-1.30304249802,-1.15188900059,-1.07665760501,-1.24915991979,-1.00735961298,-1.32308135803,-1.24574157187,-1.14892451629,-0.919672061496,-0.459970097296,-0.627386584465,-1.14702236377,-0.977609354327,-0.894602416662,-1.19805242164,-1.60589082513,-0.935929321369,-1.96851551669,-1.48933274439,-0.876689014669,-0.962829893946,-1.52611747455,-1.21253206703,-0.947187870289,-1.1054822922
Product Details,-1.37555726797,-1.22590079489,-1.32014234719,-1.26808386024,-1.12081773108,-1.73698243925,-1.3275375797,-1.07634763291,-1.80614451028,-1.20753389144,-1.78979791725,-1.13417885255,-0.840754673301,-0.671096695083,-1.3938650528,-0.629302556255,-1.16184428626,-0.912684356409,-0.918184501478,-1.61511955536,-1.43587247931,-1.13771396377,-0.918644704368,-1.19953368328,-1.09043688178
Return Policy,-1.34069370209,-1.51078075395,-1.2634196518,-1.31447893225,-1.26639100357,-1.33704376099,-1.2414960352,-1.23566145863,-1.16613540817,-1.00196324986,-1.10962408868,-1.24808303309,-0.813880099624,-1.46273119117,-1.28602989457,-1.02987946613,-1.49749959476,-0.9551506611,0.343092903043,-1.0720925329,-1.01651914786,-1.55660394763,-1.28078186668,-1.32414175665,-1.19413647172
Product Inventory,-1.70660367253,-1.11927517957,-1.36452297418,-1.54604619344,-1.76898681858,-1.74600465159,-1.35538942267,-1.66293097423,-0.956208564676,-1.46351259138,-2.0226106931,-1.24568205407,-1.26934150585,-1.05329225936,-1.53160957754,-1.42536878152,1.05412756038,-1.75081442442,-1.46772753019,-1.78135925465,-0.975093880622,-2.1987360796,-1.45532374896,-1.28706737639,-1.31635249968
Shipping Inquiry,-1.32171692298,-1.44337361429,-1.21159355433,-1.22905178877,-1.24330381501,-1.4385795786,-1.10400347166,-1.14700239086,-0.762631565685,-1.31531794151,-1.16499467165,-1.194472042,-1.24997318029,-1.10398285493,-1.2152929573,-1.34404870679,-1.47107652997,-1.47243209592,-0.798365610103,-0.862840199405,0.606451891873,-1.63270847463,-1.37173890437,-1.13304686069,-1.12009768006
Account_Enquiry,0.323665004115,-0.96503065094,-1.02052423971,-0.980829747336,-1.10809553098,-1.05472319035,-0.989412280104,-0.983971310813,-1.30189581153,-0.815587238875,-0.968085645405,-0.995529511693,-1.24713417527,-0.996128296583,-0.979939173544,-1.50895375849,-1.2088922366,-1.57481716154,-1.18978494216,-1.17124591801,-0.778485851948,-0.98253629232,-1.06929460304,-1.02614953326,-0.99182727541
Product Details,-1.42870109927,-1.25746149916,-1.1087045527,-0.922244707679,-1.54352604626,-1.14888800516,-1.26753908552,-1.06054413261,-1.25914172407,-1.57533576254,-1.87102974236,-1.07492759284,-1.44437749461,-0.651674714115,-1.3212206508,-0.351853369449,-0.916826407135,-0.855055819272,-1.26123466833,-1.94376834506,-1.4050460884,-1.43194975459,-0.643356396567,-1.06861551084,-1.15257955464
Product Inventory,-1.20677162878,-1.13845863464,-1.32097203487,-1.55700060207,-1.11121609558,-1.40648961361,-1.18500509998,-1.2676115156,-1.26715511326,-0.858992566384,-1.78784021835,-1.21049845805,-1.51089364078,-1.27606064577,-1.30390131716,-0.479644226721,-0.250611295613,-1.27513117165,-1.30744122565,-1.3324903029,-1.13793455751,-1.30101581686,-1.5302237882,-1.13488937993,-1.26012374843
