,0,1
0,00328778000,9.41198081293
1,02215008000,9.81744592104
2,02215008000 bec,9.81744592104
3,02215008000 bec doesnt,9.81744592104
4,041,9.12429874048
5,04423402000,9.81744592104
6,04423402000 know,9.81744592104
7,04423402000 know use,9.81744592104
8,056,8.90115518917
9,056 xxxxxx,8.90115518917
10,093112794833,9.81744592104
11,093112794833 getting,9.81744592104
12,093112794833 getting error,9.81744592104
13,10,4.15101923293
14,10 12 15,9.81744592104
15,10 75,6.84703145547
16,10 coupon,7.73800437936
17,10 days gift,9.81744592104
18,10 different,9.81744592104
19,10 different times,9.81744592104
20,10 discount,6.68195170511
21,10 dollar,8.02568645181
22,10 dollar gift,9.12429874048
23,10 gc,8.90115518917
24,10 gift,6.23392698259
25,10 gift card,6.35171001824
26,10 gift cards,8.43115155992
27,10 giftcard,9.12429874048
28,10 kids,7.94564374414
29,10 kids clotng,8.1126978288
30,10 min,9.81744592104
31,10 min sure,9.81744592104
32,10 minutes,9.41198081293
33,10 minutes came,9.81744592104
34,10 minutes fixed,9.81744592104
35,10 online coupon,9.81744592104
36,10 pick,7.87153577199
37,10 points,7.73800437936
38,10 purchase,8.20800800861
39,10 store,7.87153577199
40,10 surprise,7.51486082805
41,10 surprise points,7.56615412244
42,10 use,8.90115518917
43,10 year,8.31336852427
44,10 year gtee,9.81744592104
45,10 year guarantee,9.81744592104
46,10 year motor,9.81744592104
47,10 year parts,9.81744592104
48,10 year warrenty,9.81744592104
49,10 years,9.41198081293
50,10 years manufacture,9.81744592104
51,10 yr,9.81744592104
52,10 yr parts,9.81744592104
53,100,6.24791322456
54,100 day,9.41198081293
55,100 iphone,9.81744592104
56,100 iphone wch,9.81744592104
57,100 memory,9.81744592104
58,100 memory foam,9.81744592104
59,100 pound,8.90115518917
60,100 pound im,9.81744592104
61,1000,6.45015009106
62,1000 1100,9.81744592104
63,1000 credi,9.81744592104
64,1000 credi giving,9.81744592104
65,1000 finalized,9.81744592104
66,1000 finalized debit,9.81744592104
67,1000 gift,8.71883363237
68,1000 gift card,8.71883363237
69,1000 surprise,8.71883363237
70,1000 surprise points,8.71883363237
71,10000,8.20800800861
72,10000 points,8.90115518917
73,10062,9.81744592104
74,10062 able,9.81744592104
75,10062 able upgrade,9.81744592104
76,10140,9.81744592104
77,10140 cellular,9.81744592104
78,10140 cellular service,9.81744592104
79,10170,9.81744592104
80,10170 trying,9.81744592104
81,10170 trying buy,9.81744592104
82,10295,9.81744592104
83,10295 id,9.81744592104
84,10295 id like,9.81744592104
85,10322,9.81744592104
86,10322 lost,9.81744592104
87,10322 lost phone,9.81744592104
88,104cm,9.41198081293
89,10514,9.81744592104
90,10514 im,9.81744592104
91,10514 im looking,9.81744592104
92,10548,9.81744592104
93,10548 like,9.81744592104
94,10548 like mother,9.81744592104
95,10548 want,9.81744592104
96,10548 want know,9.81744592104
97,10596,9.81744592104
98,10596 michelle,9.81744592104
99,10596 michelle tony,9.81744592104
100,10596 past,9.81744592104
101,10599,9.81744592104
102,10599 non,9.81744592104
103,10599 non contract,9.81744592104
104,10648,9.81744592104
105,10648 answer,9.81744592104
106,10648 answer oops,9.81744592104
107,10648 beleave,9.81744592104
108,10648 beleave putting,9.81744592104
109,10783,9.81744592104
110,10783 currently,9.81744592104
111,10783 currently im,9.81744592104
112,10783 im,9.81744592104
113,10783 im upgrade,9.81744592104
114,1080p,8.71883363237
115,1080p hd,9.81744592104
116,1080p hd video,9.81744592104
117,10904,9.81744592104
118,10904 want,9.81744592104
119,10904 want replace,9.81744592104
120,10971,9.81744592104
121,10971 looking,9.81744592104
122,10971 looking hp,9.81744592104
123,10ft sportspower,9.41198081293
124,10ft sportspower trampoline,9.41198081293
125,10mins,9.81744592104
126,10mins ago,9.81744592104
127,10mins ago wanted,9.81744592104
128,10off cordless,9.81744592104
129,10off cordless floorcare,9.81744592104
130,11099,9.81744592104
