,Account Management,Billing & Payments,Complaints,"Discounts, Offers, Promotions",Disputes,Fees and charges,Fraud,"Modifications, Cancellation and Refunds",Ordering Process,Product or Service Details,Product or Service Quality issues,Purchase Pricing Enquiry,Scheduling Appointments,Shipping  & Order Status,Warranty & Repairs,Website Issue
Account Management,0.224993970857,-1.07931939608,-1.14986532137,-1.54697490215,-1.26797428848,-0.967756544684,-1.13160057676,-1.04117544029,-1.21054471681,-1.28777484196,-0.975581403691,-0.414446320356,-1.69662061779,-1.35960517091,-1.37002094719,-1.20403233116
Billing & Payments,-1.89134886283,0.91438197745,-1.1932801717,-1.26793289358,-1.04325981209,-1.52863582426,-1.13749828614,-1.44013279939,-1.119805149,-1.41451650936,-1.48158225015,-1.08863644161,-1.20639166783,-1.40528694579,-1.01333588864,-1.19755037893
Billing & Payments,-1.15820300431,0.888791967145,-1.15608376904,-1.51379226604,-1.64523690138,-1.89979237189,-1.20793665263,-1.311725392,-1.18655819715,-1.51185044788,-1.73103126833,-1.4417364943,-1.19602669186,-1.57968956485,-1.02589982499,-1.28565836975
Fees and charges,-0.800970850304,-1.67898274192,-1.00096033638,-1.47796101605,-1.70677151797,0.163661994761,-0.95879263007,-1.54043837494,-1.07737218148,-1.09935879963,-1.43554929179,-1.09045721446,-1.14796146587,-1.27299578427,-0.464277474448,-1.22244237825
Account Management,-0.268966625012,-1.16653127082,-1.02614416518,-0.825728987115,-0.849153468592,-1.68346329683,-1.28661836098,-0.78164512608,-1.13020317784,-1.53474668491,-1.32607864461,-0.42914108976,-0.291435762396,-1.1332350961,-1.81111890574,-1.47069013661
Product or Service Quality issues,-0.796323889293,-0.811307627532,-0.961312150654,-0.954692328784,-1.13756267172,-1.53377924254,-1.17003742389,-1.08331677701,-1.16726631064,-1.33227161794,-0.520773749379,-0.751889017562,-0.7473279157,-1.28669213235,-1.40871644054,-1.24567332254
Billing & Payments,-1.47611857658,1.41253715232,-1.15875785562,-1.36213687554,-1.1400751329,-1.61891886022,-1.1604950979,-1.41931797569,-1.10169537035,-1.60335636729,-1.49306860895,-2.05844658867,-1.40921200902,-1.47905828605,-1.16128586384,-1.26227528621
Purchase Pricing Enquiry,-1.29858617233,-1.44539709944,-1.10227091894,-0.856686936075,-1.54546890516,-1.65499917858,-1.00004712701,-1.03650488292,-1.07645315263,-1.37534672697,-1.06554227232,0.53417589187,-0.611939864301,-1.34683126598,-2.35242196813,-1.07811859891
Disputes,-1.30770854539,-1.08953932901,-0.81752855171,-0.770677619111,-0.576467436473,-1.04254126606,-0.77716649926,-0.660270961469,-0.890052321893,-1.25212274499,-0.639702417395,-1.4963312685,-0.881644847326,-1.22716522327,-0.878006872354,-0.862584248759
"Modifications, Cancellation and Refunds",-2.58755771957,-0.927332189998,-1.06813107816,-1.27197422401,-1.50091207095,-1.14141107821,-1.31490467232,0.490788285532,-1.26442376356,-1.35980704138,-1.41484174025,-0.525627293953,-1.09253544464,-1.98732139548,-2.07311610481,-1.25195832467
Product or Service Quality issues,-0.771069551491,-1.08970852327,-1.38124398897,-1.20906430268,-1.4125214094,-1.99560058656,-1.11291593733,-1.99973845002,-1.03441821381,-1.23404251444,1.19228512943,-1.58389457745,-1.38779935741,-1.459601496,-1.25939034133,-0.976420434555
Disputes,-2.71648320502,-1.79406370617,-1.08371879727,-1.93423142579,0.600032616604,-1.09849513804,-1.15370813692,-0.606661024351,-1.20498494418,-1.32414327678,-1.32746614039,-1.74333219613,-1.62843597672,-1.47684488144,-1.56713645788,-1.22282763694
Purchase Pricing Enquiry,-1.59178947852,-1.21210380678,-1.12374354203,-1.75410487014,-1.90882103835,-1.84935566828,-1.01851731858,-1.15046833684,-1.23710014598,-1.25610039654,-0.724213798446,0.379072258276,-1.64614181366,-1.64900493721,-0.806083359414,-1.17946740209
Fees and charges,-0.709882100248,-0.738632207035,-1.02623216021,-1.02948953891,-1.28272018681,0.0284228058034,-0.743316577857,-1.31487633042,-1.05115734689,-1.09576973553,-1.57440106402,-1.32985410898,-1.16886743157,-1.36428651932,-1.14442366893,-1.11159202495
Shipping  & Order Status,-1.70862600793,-1.57607489312,-1.22458735702,-1.22042959796,-1.48379690288,-1.47499496994,-1.23408678323,0.00398035222755,-1.04535880284,-1.0496052265,-1.14706045927,-1.72576733604,-1.39598171942,0.488049695452,-1.35707468361,-0.96305221106
"Modifications, Cancellation and Refunds",-0.48132517433,-1.09643750439,-1.27072706409,-1.49706188565,-1.6863766548,-0.931569526979,-1.24196558744,-0.0420378407781,-0.951909837491,-1.283281315,-1.05357763806,-1.70841821875,-1.11980815873,-0.914242305585,-1.24901146192,-0.908270494054
Purchase Pricing Enquiry,-1.54852518226,-0.937653034135,-1.11401597298,-0.957922351334,-1.3796372304,-1.44704381503,-1.00235906992,-1.51845567788,-1.00948864144,-1.00450706028,-1.13493470767,0.764202699826,-1.13537607192,-1.33693067745,-1.25699513879,-1.05710898647
Purchase Pricing Enquiry,-1.08806779937,-0.208520536539,-1.06888191177,-1.28780892022,-1.32742889769,-1.14864297983,-1.0075444798,-1.15417455043,-0.970125260925,-1.06798205145,-1.90234149698,0.674442006037,-1.26417887214,-0.925458847727,-1.3377983246,-1.00235043679
Purchase Pricing Enquiry,-1.4513157816,-1.35322834728,-1.06220501773,-0.406039086082,-1.15080870757,-1.53308814857,-0.955127302549,-1.47992057123,-1.00462887878,-1.29542463154,-0.89372746426,-0.287288358573,-0.492898773247,-1.44091546173,-1.06811301022,-0.962560286181
Billing & Payments,-1.22849737904,0.590937980072,-1.35295964594,-1.25977914302,-1.78652874354,-1.97458804828,-1.25748968781,-1.63342777708,-1.14733796525,-1.41465369825,-1.27557166094,-1.26912446391,-1.97518160062,-1.93622880368,-1.3724924251,-1.10220642033
Scheduling Appointments,-1.1861636575,-1.21415328623,-1.25327897584,-0.806850166188,-0.958679863274,-1.83464021383,-1.18938486596,-1.65185610139,-1.07469783019,-1.05555088992,-0.555054403447,-0.898638152067,-0.0866531459057,-1.21290946384,-1.211829693,-1.03416081281
Product or Service Details,-1.34299226942,-1.06537128489,-1.03396987133,-0.404407062276,-1.0439608855,-1.21848910422,-1.03171423659,-1.27784665185,-1.10035039587,0.340727347909,-1.01498452407,-1.46396375117,-1.19286129785,-0.491240010155,-1.19583219574,-1.21023282343
"Discounts, Offers, Promotions",-1.40016521816,-1.79706832835,-1.28650921168,0.810782108146,-1.13697999687,-2.16168696673,-1.39167221984,-1.14906130062,-1.44854339609,-1.95560926294,-1.72811644535,-2.33380753724,-1.45091830185,-1.9563120495,-1.56552847226,-1.57088639853
