Client,sessionId,lineNum,lineText,lineBy,L2,L3_old,L3,issueLine
CapOne,ID659048906,1,Had an email saying my account may have been compromised. I feel it is a scam. How do I check it out?,2,,Account Information and Modifications,Account Management,1
CapOne,ID660356595,1,"Hello, My name has changed to my maiden name. How eo I change my name on the account?",2,,Account Information and Modifications,Account Management,1
CapOne,ID660364596,1,I need to set up a pin number for my account..I dont think i have one ..a pin number that is..Are you a real live person jackie,2,,Account Information and Modifications,Account Management,1
CapOne,ID660381438,1,Ja'Marcus Hampton..I'm out of town and don't have my account number. Can you help me?,2,,Account Information and Modifications,Account Management,1
CapOne,ID660408961,1,"Hi Nicolas..Heidi ..I need to know the billing address for my capital one account...I have not received my bill and I want to pay it now...Also, my name should be Heidi Wallace on my account NOT Heidi Becker..are you there?",2,,Account Information and Modifications,Account Management,1
CapOne,ID659906586,1,"Thanks I have been meaning to contact you about changing my name on my credit card, my current account name is Jessica L Turner",2,,Account Information and Modifications,Account Management,1
CapOne,ID659913922,1,"Daniel Schmitt. I have a question regarding the billing address for my account. Is our company's mailing address used for the ""billing address"" when making purchases online?",2,,Account Information and Modifications,Account Management,1
CapOne,ID659915252,1,I was wondering how I go about changing my name..?,2,,Account Information and Modifications,Account Management,1
CapOne,ID659920276,1,Hi. I'm trying to get a pin # for my card.,2,,Account Information and Modifications,Account Management,1
CapOne,ID659922924,1,I have a question on adding my son to my credit card account..Can I get a credit card for my son (add on card) who is 17 years of old ,2,,Account Information and Modifications,Account Management,1
CapOne,ID659952865,1,"Hi, my name is Bob. I have a Capital One Master Card and I want to add my wife to the card. I want her to have a card with her name, and get a PIN number for the card.",2,,Account Information and Modifications,Account Management,1
CapOne,ID660012263,1,Hello. My name is Stacy and I am trying to figure out how to change the last name on my account. I recently just got married and need to change it,2,,Account Information and Modifications,Account Management,1
CapOne,ID660066886,1,I changed my last name after a divorce...Can I change my last name on my card today?..Andrea Shainman - my old last name ,2,,Account Information and Modifications,Account Management,1
CapOne,ID660094968,1,How would I go about updating my last name on my account?..I wiuld like to ad my married name,2,,Account Information and Modifications,Account Management,1
CapOne,ID660105953,1,"fine and your self ,im trying to set an atm pin and i called and its not giving me the option",2,,Account Information and Modifications,Account Management,1
CapOne,ID660118955,1,I like to add my cousin to my my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID660123323,1,I sent in documents a few months ago regarding legal name change... I just checked in with Cap One Online and the changes are not implemented. Just checking to see if there's any additional information needed.,2,,Account Information and Modifications,Account Management,1
CapOne,ID660138449,1,SET PASSWORD TO REMEMBERME,2,,Account Information and Modifications,Account Management,1
CapOne,ID660206718,1,good thanks and you? my questions are how to change the last name on my acct and how to add my spouse as an authorized user,2,,Account Information and Modifications,Account Management,1
CapOne,ID660238942,1,Well someone has my information on my credit card and tried using it but they got decliened. So I'm wondering if I need to change all my information and get new cards?,2,,Account Information and Modifications,Account Management,1
CapOne,ID660290792,1,i was recently married and i need to chang my last name ..how do i do that..Ashley madry ,2,,Account Information and Modifications,Account Management,1
CapOne,ID660312229,1,"my question is, i got married and changed my name. how can i change it with capital one..im now sarah ems",2,,Account Information and Modifications,Account Management,1
CapOne,ID662209667,1,I have forgotten the ID #'s for my creit card cash access with the ATm's. Is there any way I can retrieve it today?,2,,Account Information and Modifications,Account Management,1
CapOne,ID662212466,1,"Good morning. I got married about three weeks ago, and I was needing to know how to change my last name?",2,,Account Information and Modifications,Account Management,1
CapOne,ID662235627,1,"when i tried to take cash from my account, i got wrong pin..thought I set it up, but not so surw now",2,,Account Information and Modifications,Account Management,1
CapOne,ID662241523,1,"I forgot my password -- can Capital One send me a generic password to my on my gmail account, in order for me to reset a new password?..Ooops, I mean my password in order to do a cash advance",2,,Account Information and Modifications,Account Management,1
