lineText,sessionId,y_pred,y_prob_max,y_true
i just moved to a new house and id like to open an account with bg,INT-sv1appin05-1452932130329-209223,Account Management,0.224993970857,Account Management
  trying to set up a recurring payment  have done so in the past  cant make it happen today for some reason,ID1105494714,Billing & Payments,0.91438197745,Billing & Payments
 im trying to make a principe payment on my heloc online,INT-va1appin10-1437137036284-20648,Billing & Payments,0.888791967145,Billing & Payments
how do i setup that my accounts guard each other for overdraft protection,INT-va1appin05-1437741578134-65029,Fees and charges,0.163661994761,Account Management
 i no longer buy my energy from british gas but have a homecare agreement how do i register to make engineers appointments online,INT-sv1appin09-1451915517606-103591,Account Management,-0.268966625012,Scheduling Appointments
 i have been with british gas for nearly two years now and have not had my boiler serviced yet i would like to arrange for ts to be done also a wle back i received a call from british gas regarding insulation in the roof i just wondered if you could tell me more about that,INT-sv1appin06-1453208519208-233600,Product or Service Quality issues,-0.520773749379,Product or Service Quality issues
listen i want to set up a payment to an account,ID1149181477,Billing & Payments,1.41253715232,Billing & Payments
i have homecare 100 how much is the homelcare 200,INT-sv1appin06-1453030136741-216333,Purchase Pricing Enquiry,0.53417589187,Purchase Pricing Enquiry
is there anytng written on the check as a memo,ID1142148559,Disputes,-0.576467436473,Billing & Payments
  _end_ im looking to cancel my homecare agreement  _end_ as we have moved out of our house ,INT-va1appin10-1453292305347-3672,"Modifications, Cancellation and Refunds",0.490788285532,"Modifications, Cancellation and Refunds"
my phone line is not uverse i have been unable to get the registration code,ID1020419718,Product or Service Quality issues,1.19228512943,Product or Service Quality issues
 i disputed a charge of 9786 from norton today because i couldnt get in touch with them but i did and t promise to refund the charge so id like to retract the dispute,INT-sv1appin05-1438261352446-96486,Disputes,0.600032616604,Disputes
i just wanted to check that you cover my type of boiler,INT-sv1appin06-1453217203711-234669,Purchase Pricing Enquiry,0.379072258276,Purchase Pricing Enquiry
why has the deposit of 3000 taking so long to clear it was withdrawn from my account since thursday october 9 my name is karen alexander,ID1208625116,Fees and charges,0.0284228058034,Billing & Payments
