XTest,sessionId,y__true,y_pred,y_prob_max
i just moved to a new house and id like to open an account with bg,INT-sv1appin05-1452932130329-209223,Account Management,Account Management,0.224993970857
  trying to set up a recurring payment  have done so in the past  cant make it happen today for some reason,ID1105494714,Billing & Payments,Billing & Payments,0.91438197745
 im trying to make a principe payment on my heloc online,INT-va1appin10-1437137036284-20648,Billing & Payments,Billing & Payments,0.888791967145
listen i want to set up a payment to an account,ID1149181477,Billing & Payments,Billing & Payments,1.41253715232
i have homecare 100 how much is the homelcare 200,INT-sv1appin06-1453030136741-216333,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.53417589187
  _end_ im looking to cancel my homecare agreement  _end_ as we have moved out of our house ,INT-va1appin10-1453292305347-3672,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",0.490788285532
my phone line is not uverse i have been unable to get the registration code,ID1020419718,Product or Service Quality issues,Product or Service Quality issues,1.19228512943
 i disputed a charge of 9786 from norton today because i couldnt get in touch with them but i did and t promise to refund the charge so id like to retract the dispute,INT-sv1appin05-1438261352446-96486,Disputes,Disputes,0.600032616604
i just wanted to check that you cover my type of boiler,INT-sv1appin06-1453217203711-234669,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.379072258276
"i ordered some items on targetcom to be spped to huntsville al target store some are ready to be picked up but others are not it says i have 4 days to pick up my items i want to pick them up all together because i live 45 min away can i wait until all my items have made it to the store to pick them up at the same time order  xxxx-xxxx-4708 e-mail is xxxxxxx ""also i would like to edit my order by canceling the ottoman is that possible as well"" sure no problemn ""yes cancel the ottoman please so when would be the last day i could pick up the items that are already there""",INT-va1appin08-1445089288364-42955,Shipping  & Order Status,Shipping  & Order Status,0.488049695452
can you please give me a call on 07913-994846 i am looking for a boiler cover in a but to let flat i purchased in watford,INT-sv1appin08-1453143477699-227196,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.764202699826
i would like to know what are the peak hours costs for electricity in my area,INT-sv1appin07-1453198769737-232851,Billing & Payments,Purchase Pricing Enquiry,0.674442006037
 i created a payment today confirmation   jgqtr-568z3 and need to add a case  to the check that will be sent to payee ron hof  is ts possible to add if the payment is processing,INT-va1appin09-1437437848400-39760,Billing & Payments,Billing & Payments,0.590937980072
can u tell me is ts 2797995 mattress comes with any base or not,INT-va1appin07-1437466595935-41809,Product or Service Details,Product or Service Details,0.340727347909
 have recently received a letter from you regarding nectar points i havent asscoaited my email with my account beforewhat do i need to  _end_ how do i do it on line - i cant remember my account  _end_ meyer 22 langborough rd wokingham r40 2bt 26828,INT-sv1appin07-1450802096117-41650,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.810782108146
  _end_ im looking at the landlord pro but wanted more information regarding the excess  _end_ will i be charged ts for any call out including for the servise and gas certificate ,INT-va1appin05-1453288782238-4257,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.954375320312
ok sounds just showing up late thats ok one other question - can you provide details as to how i can avoid the 14 month service charge,ID1207543702,Account Management,Fees and charges,0.268284638561
i have just checked my online banking and noticed that there is a 30 monthly service charge being debited from my account  i am quite disappointed with ts because at the time of opening i specifically asked at the branch in new york where i opened the account if there were any charges associated with the account - if there was then i would not have opened the account i also asked if there was any minimum balance required to maintain the account and again i was told no as i was a citigold customer in th euae,ID1148277489,Fees and charges,Fees and charges,0.924468846719
1 i moved to sao paulo over a year ago but i have not been able to change my address in my account 2 probably related 2 i found that my bank card atm card was re-issued without notice and the card that i have no longer works in atm,ID1206985374,Account Management,Account Management,0.62145851567
how do i cancel my  _end_ yes  _end_ norman brudney ,INT-va1appin10-1453906455317-65084,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",1.0872021455
