,row_doc,col_feature,tfidf_value
10,0,1523,0.250223834088
9,0,4007,0.242640051864
8,0,4016,0.227480559962
7,0,4028,0.190870951244
6,0,4657,0.335051596539
5,0,6394,0.456955603857
4,0,6395,0.290843597095
3,0,6396,0.376223825275
2,0,6736,0.169849228215
1,0,7673,0.26970210409
0,0,8054,0.376223825275
15,1,1003,0.236501698455
14,1,2798,0.453808698572
13,1,6956,0.353034429662
12,1,8557,0.52308261797
11,1,8560,0.582988746013
20,2,1198,0.389764849279
19,2,6630,0.372213333072
18,2,7598,0.520535506152
17,2,10392,0.563911541969
16,2,10516,0.34725661494
25,3,1003,0.285480881385
24,3,1722,0.555433355441
23,3,2798,0.547791868282
22,3,10160,0.343709472556
21,3,10516,0.437929585146
36,4,1003,0.14961794226
35,4,1117,0.293003916186
34,4,1647,0.325561159075
33,4,1731,0.36634483751
32,4,2135,0.209188983151
31,4,3373,0.285351763364
30,4,3387,0.345777730306
29,4,6008,0.333772993285
28,4,6956,0.223339981311
27,4,8557,0.330917475197
26,4,8560,0.368815856753
43,5,1003,0.163056829179
42,5,2135,0.227978621926
41,5,4391,0.325952294994
40,5,5813,0.341458444897
39,5,5819,0.471068931957
38,5,6536,0.516004208603
37,5,7419,0.458729951332
49,6,1339,0.477733658281
48,6,2362,0.527678166988
47,6,4734,0.436465078005
46,6,8756,0.389450146943
45,6,9600,0.325608715859
44,6,10160,0.212443137603
60,7,1430,0.504464680681
59,7,1865,0.166816937731
58,7,1905,0.297719086991
57,7,3260,0.244777269286
56,7,4902,0.267501022287
55,7,4904,0.284957877655
54,7,4905,0.325796976063
53,7,7773,0.236524313435
52,7,7776,0.320236089087
51,7,8517,0.299375852435
50,7,10695,0.249224127482
67,8,2400,0.233064021707
66,8,6576,0.196112804233
65,8,6591,0.347035613006
64,8,8186,0.715391101648
63,8,8681,0.366708399828
62,8,8830,0.24916191664
61,8,9950,0.280082262169
74,9,1003,0.171099435461
73,9,4324,0.498275779303
72,9,6008,0.381694667501
71,9,6362,0.382534238643
70,9,10063,0.25218621274
69,9,10105,0.477142172288
68,9,11103,0.373042128372
78,10,1003,0.264491857979
77,10,2098,0.52003801299
76,10,5919,0.367595339339
75,10,5932,0.724208663718
81,11,2089,0.869716549334
80,11,10160,0.1654428336
79,11,10173,0.464996551197
90,12,1430,0.277943483231
89,12,2400,0.207384186131
88,12,3722,0.694795414633
87,12,6576,0.17450438724
86,12,6591,0.308797975914
85,12,6736,0.201393802119
84,12,7516,0.218773380335
83,12,7519,0.319791457124
82,12,8306,0.283730063015
95,13,4374,0.35731963704
94,13,5813,0.449152871555
93,13,5817,0.538216630643
92,13,7381,0.324193480569
91,13,7478,0.525172181875
103,14,1003,0.246803447424
102,14,2611,0.588005604484
101,14,2615,0.445595606254
100,14,3108,0.37268580053
99,14,3615,0.229713204669
98,14,7419,0.173583857228
