,0,1
0,0001 58,10.303192989
1,0001 58 data,10.303192989
2,00421,9.89772788088
3,00421 7714413,9.89772788088
4,0055,10.303192989
5,0055 group,10.303192989
6,0055 group group,10.303192989
7,0091,10.303192989
8,0091 rarely,10.303192989
9,0091 rarely use,10.303192989
10,02 86787775,10.303192989
11,02 86787775 receive,10.303192989
12,02 9670,10.303192989
13,02 9670 6500,10.303192989
14,0268824057,10.303192989
15,0268824057 6379,10.303192989
16,0268824057 6379 details,10.303192989
17,03 94866113,10.303192989
18,03 94866113 advise,10.303192989
19,0397505379,10.303192989
20,0397505379 home,10.303192989
21,0397505379 home bundle,10.303192989
22,0397742880,10.303192989
23,0397742880 optus,10.303192989
24,0397742880 optus tv,10.303192989
25,04 oct,10.303192989
26,04 oct 1987,10.303192989
27,0400919858,9.89772788088
28,0400919858 elliott,9.89772788088
29,0400919858 elliott daniel,9.89772788088
30,0401655586,9.89772788088
31,0402762307,10.303192989
32,0402762307 details,10.303192989
33,0402762307 details david,10.303192989
34,0403111805,9.89772788088
35,0404899352,9.89772788088
36,0405136650,10.303192989
37,0406 485,9.89772788088
38,0406 485 484,9.89772788088
39,0409,9.61004580843
40,0409 337,10.303192989
41,0409 337 764,10.303192989
42,0410,9.89772788088
43,0410 407,9.89772788088
44,0410 407 464,9.89772788088
45,0410026587,10.303192989
46,0411 456,10.303192989
47,0411 456 751,10.303192989
48,0411468725,9.89772788088
49,0411951143,10.303192989
50,0412 385787,10.303192989
51,0412 615550,10.303192989
52,0412675949,10.303192989
53,0412675949 dont,10.303192989
54,0412675949 dont tnk,10.303192989
55,0412896402,10.303192989
56,0412896402 ts,10.303192989
57,0412896402 ts number,10.303192989
58,0413078846,10.303192989
59,0413078846 sim,10.303192989
60,0413078846 sim mobile,10.303192989
61,0413318397,10.303192989
62,0413848622,10.303192989
63,0413848622 order,10.303192989
64,0413848622 order placed,10.303192989
65,0414333065,9.89772788088
66,0414922248,9.89772788088
67,0414922248 phone,9.89772788088
68,0414922248 phone stolen,9.89772788088
69,0416623273,10.303192989
70,0417044340,9.89772788088
71,0417044340 account,9.89772788088
72,0417044340 account karl,9.89772788088
73,0421 374,10.303192989
74,0421 374 259,10.303192989
75,0421 422,10.303192989
76,0421 422 288,10.303192989
77,0421241584,10.303192989
78,0421783239,10.303192989
79,0421783239 kate,10.303192989
80,0421783239 kate riley,10.303192989
81,0422047227,10.303192989
82,0422047227 nguyen,10.303192989
83,0422047227 nguyen tran,10.303192989
84,0422688658,10.303192989
85,0422688658 daughter,10.303192989
86,0422688658 daughter week,10.303192989
87,0423212071,10.303192989
88,0423272681,10.303192989
89,0423272681 nano,10.303192989
90,0423272681 nano sim,10.303192989
91,04234767850434621788,10.303192989
92,04234767850434621788 want,10.303192989
93,04234767850434621788 want know,10.303192989
94,0423525638,10.303192989
95,0431 572,10.303192989
96,0431 572 061,10.303192989
97,0431404839,10.303192989
98,0432077078,9.89772788088
99,0432234411,10.303192989
100,0432234411 prue,10.303192989
101,0432234411 prue sujevich,10.303192989
102,0432426554,10.303192989
103,0434 181,9.89772788088
104,0434 181 681,9.89772788088
105,0434056968,10.303192989
106,0434056968 anthony,10.303192989
107,0434056968 anthony lyster,10.303192989
108,0434265209,9.89772788088
109,0434265209 samantha,9.89772788088
110,0434265209 samantha fyfe,9.89772788088
111,0434626938,10.303192989
112,0434626938 supposed,10.303192989
113,0434626938 supposed make,10.303192989
114,0435932771,10.303192989
115,0439,10.303192989
116,0439 499,10.303192989
117,0439 499 065,10.303192989
118,0450495485,10.303192989
119,0450495485 born,10.303192989
120,0450495485 born 471993,10.303192989
121,0453,10.303192989
122,0453 dropped,10.303192989
123,0453 dropped phone,10.303192989
124,0478043417,10.303192989
125,0478052661,9.89772788088
126,0478814921,9.89772788088
127,0478814921 phyllyp,9.89772788088
128,0478814921 phyllyp matthews,9.89772788088
129,0481203019,10.303192989
130,0481203019 days,10.303192989
131,0481203019 days ago,10.303192989
132,0499,10.303192989
133,0499 479,10.303192989
134,0499 479 981,10.303192989
135,050,9.61004580843
136,050 1059483,10.303192989
137,050 like,9.89772788088
138,050 like place,9.89772788088
139,061,10.303192989
140,061 bedri,10.303192989
141,0619,10.303192989
142,06302015,10.303192989
143,06302015 daughter,10.303192989
144,06302015 daughter separate,10.303192989
145,065 mobile,10.303192989
146,065 mobile number,10.303192989
147,068kbps,9.89772788088
148,068kbps spent,9.89772788088
149,068kbps spent hour,9.89772788088
150,07 32047568,9.89772788088
151,0731722491,9.89772788088
152,0731722491 march,9.89772788088
153,0731722491 march 14th,9.89772788088
154,0733539005,10.303192989
155,078 sorry,10.303192989
156,078 sorry late,10.303192989
157,0810,10.303192989
158,0810 monday,10.303192989
159,0810 monday att,10.303192989
160,087,10.303192989
161,087 078,10.303192989
162,087 078 sorry,10.303192989
163,087 087,10.303192989
164,087 087 078,10.303192989
165,0894942708,9.89772788088
166,0894942708 second,9.89772788088
167,0894942708 second letter,9.89772788088
168,10,5.13555394608
169,10 1gb,9.0504300205
170,10 business,9.89772788088
171,10 business days,9.89772788088
172,10 coming,10.303192989
173,10 data,8.59844489675
174,10 days,8.05190119038
175,10 days ago,9.20458070032
176,10 days connect,9.89772788088
177,10 days days,9.89772788088
178,10 discount,7.35875400982
179,10 discount broadband,9.38690225712
180,10 gb usage,10.303192989
181,10 help,10.303192989
182,10 help fix,10.303192989
183,10 hoddle,9.89772788088
184,10 hoddle pl,9.89772788088
185,10 hours,9.61004580843
186,10 hours log,9.89772788088
187,10 inch,10.303192989
188,10 inch tablet,10.303192989
189,10 insurance,10.303192989
190,10 insurance thats,10.303192989
191,10 lines,10.303192989
192,10 lines invited,10.303192989
193,10 minutes later,10.303192989
194,10 mobile number,10.303192989
195,10 month tnking,10.303192989
196,10 monthly,10.303192989
197,10 monthly fee,10.303192989
198,10 repayment,10.303192989
199,10 repayment phone,10.303192989
200,10 year,10.303192989
201,10 year old,10.303192989
202,10 years looking,10.303192989
203,100,5.82019043698
204,100 115,10.303192989
205,100 115 125,10.303192989
206,100 brother,10.303192989
207,100 brother just,10.303192989
208,100 congratulation,10.303192989
209,100 congratulation making,10.303192989
210,100 credit,8.69375507656
211,100 data,8.69375507656
212,100 entertainment cable,9.89772788088
213,100 month naked,9.89772788088
214,100 pbps,9.89772788088
215,100 phone amp,9.61004580843
216,1000,8.69375507656
217,1000 month,9.89772788088
218,1000 month notice,10.303192989
219,1000743070191047,10.303192989
220,1000743070191047 confirm,10.303192989
221,1000743070191047 confirm appt,10.303192989
222,100gb,8.79911559221
223,100gb internet,9.38690225712
224,100mb download,9.89772788088
225,100mb download 25,9.89772788088
226,100mbps,7.95181773183
227,100mbps publish,9.89772788088
228,100mbps publish speeds,9.89772788088
229,101 2014 edition,9.89772788088
230,101 message,9.89772788088
231,101 message optus,9.89772788088
232,10101291914039323,10.303192989
233,10101291914039323 log,10.303192989
234,10101291914039323 log dont,10.303192989
235,1030,10.303192989
236,1030 didnt,10.303192989
237,1030 didnt second,10.303192989
238,104 nancy,10.303192989
239,104 nancy lane,10.303192989
240,105 paxton,10.303192989
241,105 paxton court,10.303192989
242,1059483,10.303192989
243,106 john,9.89772788088
244,106 john wteway,9.89772788088
245,1094,10.303192989
246,1094 wifi,10.303192989
247,10gb datacmpideqadv_pb_p7895132430gclideqcj0keqjwglgubrcqptlsnjcvh,10.303192989
248,10gb datacmpideqadv_pb_p7895132430gclideqcj0keqjwglgubrcqptlsnjcvh wbeiqainrjsyryzwzsylt,10.303192989
249,10gb mobile,9.20458070032
250,10gb mobile share,9.61004580843
251,10gb month internet,9.89772788088
252,10gb month unlimited,10.303192989
253,11 days,9.20458070032
254,11 days month,9.89772788088
255,11 days remaining,9.89772788088
256,11 weeks,10.303192989
257,11 weeks options,10.303192989
258,110,7.00735612299
259,110 25,9.89772788088
260,110 25 discount,9.89772788088
261,110 fusin,9.89772788088
262,110 fusin plan,9.89772788088
263,110 month notng,9.89772788088
264,110 plan wch,10.303192989
265,1100,9.89772788088
266,1100 said,10.303192989
267,1100 said shed,10.303192989
268,110814,10.303192989
269,110814 2pm,10.303192989
270,110814 2pm like,10.303192989
271,1111,8.51143351976
272,111992,10.303192989
273,111992 address,10.303192989
274,111992 address 15,10.303192989
275,1129xxx,10.303192989
276,1129xxx xxx,10.303192989
277,1129xxx xxx xxxx,10.303192989
278,113 oct,10.303192989
279,113 oct 114,10.303192989
280,114,9.0504300205
281,114 billing,10.303192989
282,114 billing began,10.303192989
283,114 explain,10.303192989
284,114 explain just,10.303192989
285,114 month,9.89772788088
286,114 month ive,10.303192989
287,114 month optus,10.303192989
288,115,5.58023976735
289,115 125,10.303192989
290,115 125 entertainment,10.303192989
291,115 broadband,8.69375507656
292,115 bundle,7.33277852342
293,115 bundle does,9.89772788088
294,115 bundle unsure,10.303192989
295,115 entertainment,7.53060426675
296,115 entertainment bundle,7.56235296507
297,115 home phone,9.61004580843
298,115 month,7.25867055127
299,115 month currentlywith,10.303192989
300,115 month unlimited,10.303192989
301,115 optus package,9.89772788088
302,115 pm,9.20458070032
303,115 tech,10.303192989
304,115 tech said,10.303192989
305,11500,8.35728283994
306,11500 free,9.89772788088
307,11500 free installation,9.89772788088
308,1153xxx,10.303192989
309,1153xxx xxx,10.303192989
310,1153xxx xxx xxxx,10.303192989
311,115m,10.303192989
312,115m plan,10.303192989
313,115m plan connected,10.303192989
314,115mth,9.20458070032
315,1192,10.303192989
316,1192 living,10.303192989
317,1192 living 15,10.303192989
318,12 14,9.61004580843
319,12 14 hale,9.89772788088
320,12 230,9.89772788088
321,12 230 received,9.89772788088
322,12 confirmed,10.303192989
323,12 confirmed told,10.303192989
324,12 hoursi,9.89772788088
325,12 hoursi odered,9.89772788088
326,12 leave,10.303192989
327,12 leave country,10.303192989
328,12 month payment,10.303192989
329,12 months activate,10.303192989
330,12 months including,9.89772788088
331,12 months long,9.89772788088
332,12 months ts,10.303192989
333,1200 finalise,10.303192989
334,1200 finalise contract,10.303192989
335,120gb,8.05190119038
336,120gb 200gb,9.38690225712
337,120gb 200gb broadbandphone,9.89772788088
338,125 entertainment bundles,10.303192989
339,125 month cost,10.303192989
340,12599,10.303192989
341,12599 cancel,10.303192989
342,12599 cancel service,10.303192989
343,128 gb,10.303192989
344,128gb black,10.303192989
345,128gb black samsung,10.303192989
346,12mbps,9.89772788088
347,12mbps 100,9.89772788088
348,12mbps 100 pbps,9.89772788088
349,13 instead,10.303192989
350,13 instead 76or,10.303192989
351,13 walnut,9.38690225712
352,13 walnut crescent,9.38690225712
353,1300 number wont,10.303192989
354,1329,10.303192989
355,1329 overdue,10.303192989
356,1329 overdue pay,10.303192989
357,132a,9.89772788088
358,132a kensington,9.89772788088
359,132a kensington rd,9.89772788088
360,1331,10.303192989
361,1331 wolfe,10.303192989
362,1331 wolfe rd,10.303192989
363,13400,10.303192989
364,13684882,9.89772788088
365,13684882 order,9.89772788088
366,13684882 order ref,9.89772788088
367,13th said,10.303192989
368,13th said needed,10.303192989
369,14 hale,9.89772788088
370,14 hale street,9.89772788088
371,1400,9.89772788088
372,1400 minutes,10.303192989
373,1400 minutes price,10.303192989
374,1422014,10.303192989
375,1422014 wanted,10.303192989
376,1422014 wanted change,10.303192989
377,1423,10.303192989
378,1423 0001,10.303192989
