lineText,sessionId,y_pred,y_prob_max,y_true
slow speed--i was recently upgraded to earthlink ultimate 100 from 20 mbps to speeds up to 100 mbps i just ran a speed test on your website and show 834 down and 234 up why is it so slow ts is slower than my pre-upgraded speed,ID1222660773,Product or Service Quality issues,1.76942579894,Product or Service Quality issues
 my mob is not receiving text messages and calls go direct to voicemail but i dont get a miss callts happens randomly every now and then the text messages also never arrive,int-sv1appin01-1394134958213-10394,Product or Service Quality issues,-0.0271409130362,Product or Service Quality issues
 i just wanted to check if my voicemail is active please,int-sv1appin01-1394587930669-22152,Device settings,-0.0982795198648,Device settings
,int-sv1appin01-1394085183986-9113,phone + plan (international/data) Upgrade/Downgrade,-0.508173975001,phone + plan (international/data) Upgrade/Downgrade
  i would like to know how far away my new samsun note3 is i was told that it would be ordered for me but i am getting anxious about when it will turn up,int-sv1appin01-1395874710548-15532,Product or Service Quality issues,-0.517497028103,Order Status
i requested to have call blocking to placed when i make a call,ID1223636596,Order Status,-0.615787304032,Others
good thanks i was just tnking to recontract 1 of my numbers,int-sv1appin04-1394772956656-2147,phone + plan (international/data) Upgrade/Downgrade,0.180147023444,Contract Information
bill payment,7.25E+17,"Payment Status, Arrangement and Issue",0.604798304991,Make payment
why have i been charged excess of over 68 and no courtesy reminder of topping up my account,int-sv1appin01-1394427884043-16943,bill explanation,0.252068041312,bill explanation
can you help me is the samsung galaxy s 6 same size as the edge trying to buy a case online at your store deshawn,7.23E+17,phone + plan (international/data) Upgrade/Downgrade,0.283666154162,Order Equipment
 trying to activate replacement sims but the online service has a sim prefix of 896102 mine start with 54 and 55,int-sv1appin01-1394148408126-10865,Activate Device/Service,-0.0923671402536,Device settings
im trying to login to account said my password didnt match so requested a temp password it will not work either im trying to login on phone,7.23E+17,Product or Service Quality issues,0.105602388979,Setup/Register Account Online
  michael i need my plan to be swithced to a sim only plan my mobile no is 0432076967,int-sv1appin01-1394535352736-20416,phone + plan (international/data) Upgrade/Downgrade,0.867831376171,phone + plan (international/data) Upgrade/Downgrade
 ,int-sv1appin01-1394038420461-7319,phone + plan (international/data) Upgrade/Downgrade,-0.508173975001,phone + plan (international/data) Upgrade/Downgrade
ok thanks how long is the contract and what happens if we are not happy with the coverage,int-sv1appin01-1394503041525-19411,Contract Information,-0.0348621158621,Contract Information
  i have 125 telampbb plan if i have another sim only plan could i get 10 discount,int-sv1appin01-1396235880148-25922,Promotions & Discounts,0.901982869113,Promotions & Discounts
trying to logging in my account but is saying is locked help,ID1235172846,Setup/Register Account Online,-0.153531351764,Activate Device/Service
 how do i connect my optus tv service to my account online,int-sv1appin02-1391552524729-14891,Setup/Register Account Online,-0.543715212388,TV only plan Upgrade/Downgrade
  im looking at the home broadband and phone unlimited entertainment bundle,int-sv1appin01-1394100160346-9491,Bundles Upgrade/Downgrade,1.25340175512,Bundles Upgrade/Downgrade
i was just wondering what internet speed would i get if i go with a homephone and internet bundle i tnk its like 115 a month,int-sv1appin01-1394333792684-15128,Bundles Upgrade/Downgrade,0.259517989837,Internet Queries
i cant log into my account,7.24E+17,Product or Service Quality issues,0.433467331228,Setup/Register Account Online
