XTest,sessionId,y__true,y_pred,y_prob_max
slow speed--i was recently upgraded to earthlink ultimate 100 from 20 mbps to speeds up to 100 mbps i just ran a speed test on your website and show 834 down and 234 up why is it so slow ts is slower than my pre-upgraded speed,ID1222660773,Product or Service Quality issues,Product or Service Quality issues,1.76942579894
good thanks i was just tnking to recontract 1 of my numbers,int-sv1appin04-1394772956656-2147,Contract Information,phone + plan (international/data) Upgrade/Downgrade,0.180147023444
bill payment,7.25E+17,Make payment,"Payment Status, Arrangement and Issue",0.604798304991
why have i been charged excess of over 68 and no courtesy reminder of topping up my account,int-sv1appin01-1394427884043-16943,bill explanation,bill explanation,0.252068041312
can you help me is the samsung galaxy s 6 same size as the edge trying to buy a case online at your store deshawn,7.23E+17,Order Equipment,phone + plan (international/data) Upgrade/Downgrade,0.283666154162
im trying to login to account said my password didnt match so requested a temp password it will not work either im trying to login on phone,7.23E+17,Setup/Register Account Online,Product or Service Quality issues,0.105602388979
  michael i need my plan to be swithced to a sim only plan my mobile no is 0432076967,int-sv1appin01-1394535352736-20416,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.867831376171
  i have 125 telampbb plan if i have another sim only plan could i get 10 discount,int-sv1appin01-1396235880148-25922,Promotions & Discounts,Promotions & Discounts,0.901982869113
  im looking at the home broadband and phone unlimited entertainment bundle,int-sv1appin01-1394100160346-9491,Bundles Upgrade/Downgrade,Bundles Upgrade/Downgrade,1.25340175512
i was just wondering what internet speed would i get if i go with a homephone and internet bundle i tnk its like 115 a month,int-sv1appin01-1394333792684-15128,Internet Queries,Bundles Upgrade/Downgrade,0.259517989837
i cant log into my account,7.24E+17,Setup/Register Account Online,Product or Service Quality issues,0.433467331228
just got twc ts morning  the user name not working,ID1224957342,Product or Service Quality issues,Product or Service Quality issues,0.565230925498
  aaron i was offered a deal by one of ur sales consultant,int-sv1appin01-1394726156268-636,Promotions & Discounts,Promotions & Discounts,0.243037919794
 i was tnking about upgrading my plan to the 15gb plan that you have advertised and was also considering changing the one regular phone on my plan under contract to a smart phone i was wondering how much it would cost to do both upgrades,7.44E+17,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,1.62717693142
 i need to cancel a my sim plan,int-sv1appin01-1394515247500-19902,Cancellation and Retention,Cancellation and Retention,1.01285021681
looking to transfer billing responsibility for my telephone number,7.24E+17,Setup/Register Account Online,Setup/Register Account Online,1.40363820286
  emma my phone number is 0423633120 my phone bill is currently overdue can i arrange the extension now or do i need to contact customer service by phone,int-sv1appin01-1395036281953-7417,"Payment Status, Arrangement and Issue","Payment Status, Arrangement and Issue",0.690062938835
the app is giving me a message that twc tv is not working the guide is ok but the live tv is not,ID1231341842,Product or Service Quality issues,Product or Service Quality issues,0.166384339853
can i reset my user name and password,ID1227648533,Product or Service Quality issues,Product or Service Quality issues,0.526092815408
 i was just wondering when i can upgrade my phone,int-sv1appin01-1396081188883-22735,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.755742766363
i want to get a new phone,int-sv1appin01-1394929484925-5311,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.558779971692
i cant seem to send out or access email from my outlook account,ID1232304541,Product or Service Quality issues,Product or Service Quality issues,1.10066991518
multiple the screen seems unresponsive the volume for talking is shockingly low so much so that i frarely finish a whole conversation with someone before t or i have to terminate the call pusng dual buttons to screen shot only works sporadically to name a few issues,int-sv1appin01-1394746414995-1276,Product or Service Quality issues,Product or Service Quality issues,0.198417710958
  stella im jeff - how much per month are the speed packs to get to 25 mbps and 50 mbps for the unlimited entertainment bundle,int-sv1appin01-1394865262360-4282,phone + plan (international/data) Upgrade/Downgrade,Bundles Upgrade/Downgrade,0.184136068829
 there was plan 74 for iphone 5s last week right ,int-sv1appin01-1395710169657-9824,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.649786473915
i had chatted with someone a few days ago its about a new phone a samsung s3 the  35 plan that you are offering whats the best deal you can give us,int-sv1appin01-1394097908227-9440,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.201878177257
remote is bad,ID1224284882,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,1.63463744743
"{""product soughtiphone5s} {""alternate product soughtapplebrandpage} i am looking for a bundle with an ipad and iphone please",int-sv1appin01-1395042137760-7587,Bundles Upgrade/Downgrade,Bundles Upgrade/Downgrade,1.5059363427
  my phone is receiving bad reception i cant make calls or use my internet,int-sv1appin01-1394711257557-213,Product or Service Quality issues,Product or Service Quality issues,2.40753962727
 i have an optus prepaid service if i change from my current carrier to optus how much discount is available with the home phone plans,int-sv1appin01-1394066746130-8324,Promotions & Discounts,Promotions & Discounts,0.404843117908
 i was wonder if you would be able to put extra data on my plan so i dont go over but on on the whole plan itself just ts months not,int-sv1appin01-1395393395304-2296,phone + plan (international/data) Upgrade/Downgrade,Data top up,0.263252125368
 my mobile phone has been suspended and my phone want let me call the customer service to reactivate i have paid my outstanding amount of 19251 and the receipt number is 520600 can you please re activate,int-sv1appin02-1391490581962-13552,Make payment - Reinstate/Restore service,Make payment - Reinstate/Restore service,0.417534538332
why do i get a message message fqhbr07176 when trying to watch espn on the internet,ID1226595999,Product or Service Quality issues,Product or Service Quality issues,0.386362078627
i want to get more data on my existing plan i am currently on 120gb plan now i am paying about 70 a month,int-sv1appin04-1394879479515-4486,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.129093971366
  i was just curious wch cable wireless modem is provided with the new broadband internet connection,int-sv1appin01-1395332617639-389,phone + plan (international/data) Upgrade/Downgrade,Order Equipment,0.240423089979
 can i get two iphone 5,int-sv1appin01-1395480572107-4273,phone + plan (international/data) Upgrade/Downgrade,phone + plan (international/data) Upgrade/Downgrade,0.17199874554
okay we have had an associate move into the office with us i have cancelled a fax line we had and we want to transfer that old line we had with iinet to their line i have received a change of account holder form from you is ts what is required to be filled out and sent to you to complete the action my associates who are taking over the line have an existing phone number in the same building,int-sv1appin01-1395712288391-9918,phone + plan (international/data) Upgrade/Downgrade,Setup/Register Account Online,0.554126871634
