,Feature
0,00 change
1,00 change correct
2,00 message
3,00 message said
4,0020
5,0029
6,0029 just
7,0029 just getting
8,0065the
9,0065the security
10,0065the security protection
11,01 0951
12,01 0951 5165
13,0113
14,01142456871
15,01142456871 ts
16,01142456871 ts _end_
17,012011
18,012011 recognize
19,012011 recognize ts
20,02 2014debit
21,02 2014debit purchase
22,0295
23,0295 30
24,0295 30 items
25,03 0633
26,03 0633 add
27,03 2014brokerage
28,03 2014brokerage debit
29,03 2014other
30,03 2014other decrease
31,0349
32,0349 4054
33,0349 4054 _end_
34,04
35,04 03
36,04 03 2014other
37,04 04
38,04 04 2014account
39,04 04 2014debit
40,04 2014account
41,04 2014account number
42,04 2014debit
43,04 2014debit purchase
44,0429 8170bbvdiscountbooksalec
45,0429 8170bbvdiscountbooksalec 866707585
46,04th
47,04th april
48,04th april authorized
49,05
50,05 18
51,05 18 94
52,0552a
53,0552a 0000
54,0555
55,0555 xxxxxxx
56,0555 xxxxxxx tnk
57,06
58,06 26 2014
59,06 28
60,06 28 2014debit
61,060
62,060 xxxxxx
63,060 xxxxxx tried
64,0633
65,0633 add
66,0633 add 8667029283
67,0634
68,0634 xyziv
69,0634 xyziv ft
70,0634a
71,0634a 6181at
72,0634a 6181at 0634
73,0636chase
74,0636chase epay
75,0636chase epay mobil
76,0694
77,0694 xxxxxxx
78,0694 xxxxxxx thats
79,072
80,0727
81,0727 2560
82,0727 2560 grcperriconemd
83,07478929900
84,07478929900 _end_
85,07478929900 _end_ ok
86,07581297509
87,07581297509 thanks
88,07581297509 thanks _end_
89,07926599598
90,07926599598 debra
91,07926599598 debra wilkes
92,07982737250
93,07982737250 _end_
94,07982737250 _end_ saturday
95,07982737250 thank
96,0800
97,0800 072
98,0800 358
99,0800 358 4559
100,0800294314
101,0800294314 dead
102,0800294314 dead _end_
103,0871
104,0871 0873
105,0871 0873 dont
106,0873
107,0873 dont
108,0873 dont tnk
109,09 02
110,09 02 2014debit
111,090914
112,0931pm
113,0951
114,0951 5165
115,0951 5165 air
116,0955
117,0955 black
118,0955 black swimsuit
119,0n
120,0n 852014
121,10
122,10 05
123,10 05 18
124,10 11757
125,10 11757 location
126,10 addition
127,10 addition getting
128,10 bring
129,10 bring pound17999
130,10 complete
131,10 complete order
132,10 coupon received
133,10 enter
134,10 enter thank
135,10 fee
136,10 monthly
137,10 picking
138,10 picking store
139,10 promotion
140,10 promotion wch
141,10 savings
142,10 savings disappointed
143,10 trolly
144,10 trolly tried
145,100 41114
146,100 41114 help
147,100 looks
148,100 looks like
149,1000
150,1000 1400
151,1000 1400 _end_
152,1000 492014
153,1000 tch
154,1000 tch ofln
155,10000 10600
156,10000 10600 knowing
157,10000 wch
158,10000 wch paid
159,101 102
160,101 102 wondering
161,101 odd
162,101 odd deited
163,10195
164,102 sorry
165,102 sorry xxxx
166,102 wondering
167,102 wondering double
168,10600
169,10600 credit
170,10600 credit line
171,10600 knowing
172,10600 need
173,10600 need want
174,108
175,108 want
176,108 want 90
177,1087
178,1087 email
179,1087 email xxxxxxx
180,109 change
181,109 change believe
182,1099 div
183,1099 div 2013
184,10off
185,10off cordless
186,10off cordless floorcare
187,1133am
188,1133am florence
189,114
190,1141
191,1141 6045prime
192,1141 6045prime time
193,11757
194,11757 location
195,11757 location sultanahme
196,12 0636chase
197,12 0636chase epay
198,12 automatic
199,12 automatic debits
200,12 boys
201,12 boys epic
202,12 months time
203,1200 chaise
204,1200 chaise cover
205,12ft trampoline tnk
206,130 pm
207,130 pm 8th
208,135 gordone
209,135 gordone street
210,1375
211,1375 sure
212,1375 sure sujay
213,14 days longer
214,1400 _end_
215,1400 _end_ thank
216,144
217,144 count
218,144 count sure
219,1444
220,1444 scott
221,1444 scott just
222,15
223,15 408443
224,15 408443 seeing
225,15 dipers
226,15 dipers thanks
227,15 folding
228,15 folding picnic
229,15 sets
230,15 sets maximum
231,1500
232,1500 large
233,1500 large sold
234,1500 threshold
235,1500 threshold wch
236,1581
237,1581 pampers
238,1581 pampers swaddlers
239,16 montpelier
240,16 montpelier road
241,16 wil
242,16 wil nt
243,1633
244,1633 5235
245,1633 5235 _end_
246,1650
247,1650 unfamiliar
248,1650 unfamiliar ts
249,1750 month tell
250,17999
251,17999 quote
252,17999 quote floor10
253,18 94
254,18 94 75
255,18593
256,18593 wch
257,18593 wch did
258,1889
259,1889 yes
260,1889 yes threshold
261,190000
262,190000 colombian
263,190000 colombian pesos
264,193668
265,193668 employer
266,193668 employer authorized
267,1940
268,1940 buy
269,1940 buy cooker
270,199 westbury
271,199 westbury avenue
272,1992 recent
273,1992 recent transaction
274,19999
275,19999 checkout
276,19a
277,19a newfield
278,19a newfield road
