,Feature
0,14 november
1,15 minutes live
2,30 min
3,30 min ago
4,30 minutes operator
5,4000k
6,877 number
7,877 number ts
8,able watch basketball
9,access disabled
10,access disabled need
11,access online pay
12,account
13,account access disabled
14,account deactivated
15,account disabled
16,account holder help
17,adapter office
18,adapter office having
19,adapters phone
20,adapters phone monday
21,add new device
22,add pops
23,add pops rid
24,added carter
25,added carter process
26,additional access
27,aggrement
28,aggrement pay
29,aggrement pay pass
30,ago internet
31,ago internet cable
32,allow additional
33,allow additional access
34,anew smart
35,anew smart tv
36,antivirus
37,apartments
38,app
39,appointment
40,area
41,arrangements
42,arrangements account
43,arrangements account internet
44,bad cancel
45,bad cancel credit
46,basketball game espn
47,billed
48,billed place
49,block
50,blocking
51,bought anew
52,bought anew smart
53,box
54,box reset picture
55,box restored
56,box restored dvr
57,boys
58,boys movie
59,boys movie yesterday
60,brother
61,buffer
62,cable
63,cable box
64,cable box restored
65,caller
66,caller id
67,calls
68,calls house
69,calls house phone
70,came sports
71,came sports package
72,cancel
73,cancel credit
74,cancel credit ts
75,cancellation
76,cancelled received
77,cancelled received statement
78,carter
79,carter left
80,carter left came
81,carter process
82,carter process removing
83,cell phone calls
84,change wifi password
85,channel
86,channels
87,charged
88,chat 30
89,chat 30 minutes
90,chat internet
91,chat internet work
92,check status request
93,choose jersery
94,choose jersery boys
95,clicked link
96,clicked link right
97,communication paid
98,communication paid account
99,compromised make
100,compromised make purchases
101,comptuer compromised
102,comptuer compromised make
103,computer fully
104,computer fully protected
105,connect internet dont
106,connect sub
107,connect sub user
108,credit
109,credit billed
110,credit billed place
111,credit ts
112,dca
113,deactivated
114,degree
115,degree wife
116,degree wife primary
117,delivered mail
118,delivered mail havent
119,demand
120,demand working
121,details
122,details receive
123,details receive communication
124,device allow
125,device allow additional
126,dial
127,dial tone
128,digital adapter office
129,digital adapters
130,digital adapters phone
131,disabled
132,disconnect
133,disconnect phone
134,disconnect phone service
135,discussing
136,discussing getting
137,discussing getting credit
138,dta needs
139,dta needs activated
140,dvr
141,dvr box reset
142,email
143,espn having
144,espn having degree
145,free digital
146,free digital adapters
147,friday 14
148,friday 14 november
149,fully protected
150,game espn
151,game espn having
152,getting credit
153,getting credit billed
154,getting dta
155,getting dta needs
156,got messahe
157,got messahe twc
158,havent received check
159,having degree
160,having degree wife
161,having mailed
162,help brother
163,holder help
164,holder help brother
165,house phone
166,id
167,install dca
168,internet
169,internet cable box
170,internet dont
171,internet dont know
172,internet work
173,internet work tv
174,jersery
175,jersery boys
176,jersery boys movie
177,just paid 30
178,just want payment
179,know order
180,know order status
181,left came
182,left came sports
183,life chat
